group,casualty_index_Post-2021,casualty_index_Pre-2021,collision_index_Post-2021,collision_index_Pre-2021,cpc_index_Post-2021,cpc_index_Pre-2021
Bradford treated OAs,122.30077120822622,122.40788346186804,130.72727272727272,124.36363636363636,92.84983377173855,97.85491156469325
Other Bradford OAs,125.6542699724518,117.76859504132231,124.55035971223022,115.16786570743405,100.78578994258383,102.14500273430691
