quarter_year,group,severity,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2015 Q1,Bradford,1,1,1,1,2.25,44.44444444444444
2015 Q1,Bradford,2,44,1,44,39.75,110.69182389937107
2015 Q1,Bradford,3,343,1,343,236.75,144.87856388595566
2015 Q1,Bradford's matched-control LADs,1,48,28,1.7142857142857142,1.9998290982555342,85.7216107006893
2015 Q1,Bradford's matched-control LADs,2,1020,58,17.586206896551722,20.573275862068964,85.48082966687618
2015 Q1,Bradford's matched-control LADs,3,7983,58,137.63793103448276,112.68103448275862,122.14826715630021
2015 Q2,Bradford,2,42,1,42,39.75,105.66037735849056
2015 Q2,Bradford,3,365,1,365,236.75,154.17106652587117
2015 Q2,Bradford's matched-control LADs,1,63,33,1.9090909090909092,1.9998290982555342,95.46270282576762
2015 Q2,Bradford's matched-control LADs,2,1089,58,18.775862068965516,20.573275862068964,91.26335637963545
2015 Q2,Bradford's matched-control LADs,3,8310,58,143.27586206896552,112.68103448275862,127.15170989212761
2015 Q3,Bradford,2,46,1,46,39.75,115.72327044025157
2015 Q3,Bradford,3,396,1,396,236.75,167.2650475184794
2015 Q3,Bradford's matched-control LADs,1,69,36,1.9166666666666667,1.9998290982555342,95.84152307507624
2015 Q3,Bradford's matched-control LADs,2,1213,58,20.913793103448278,20.573275862068964,101.65514351560866
2015 Q3,Bradford's matched-control LADs,3,8726,58,150.44827586206895,112.68103448275862,133.51694591079487
2015 Q4,Bradford,1,6,1,6,2.25,266.6666666666667
2015 Q4,Bradford,2,49,1,49,39.75,123.27044025157232
2015 Q4,Bradford,3,395,1,395,236.75,166.84266103484688
2015 Q4,Bradford's matched-control LADs,1,58,36,1.6111111111111112,1.9998290982555342,80.56243968629596
2015 Q4,Bradford's matched-control LADs,2,1214,58,20.93103448275862,20.573275862068964,101.73894825057616
2015 Q4,Bradford's matched-control LADs,3,8982,58,154.86206896551724,112.68103448275862,137.43401422997476
2016 Q1,Bradford,1,3,1,3,2.25,133.33333333333334
2016 Q1,Bradford,2,41,1,41,39.75,103.14465408805032
2016 Q1,Bradford,3,388,1,388,236.75,163.88595564941923
2016 Q1,Bradford's matched-control LADs,1,63,33,1.9090909090909092,1.9998290982555342,95.46270282576762
2016 Q1,Bradford's matched-control LADs,2,1212,58,20.896551724137932,20.573275862068964,101.57133878064111
2016 Q1,Bradford's matched-control LADs,3,7891,58,136.05172413793105,112.68103448275862,120.74057072909496
2016 Q2,Bradford,1,1,1,1,2.25,44.44444444444444
2016 Q2,Bradford,2,42,1,42,39.75,105.66037735849056
2016 Q2,Bradford,3,295,1,295,236.75,124.6040126715945
2016 Q2,Bradford's matched-control LADs,1,65,33,1.9696969696969697,1.9998290982555342,98.49326482023643
2016 Q2,Bradford's matched-control LADs,2,1135,58,19.56896551724138,20.573275862068964,95.11837418814164
2016 Q2,Bradford's matched-control LADs,3,7847,58,135.29310344827587,112.68103448275862,120.06732461173591
2016 Q3,Bradford,1,3,1,3,2.25,133.33333333333334
2016 Q3,Bradford,2,53,1,53,39.75,133.33333333333334
2016 Q3,Bradford,3,400,1,400,236.75,168.9545934530095
2016 Q3,Bradford's matched-control LADs,1,50,30,1.6666666666666667,1.9998290982555342,83.34045484789237
2016 Q3,Bradford's matched-control LADs,2,1329,58,22.913793103448278,20.573275862068964,111.37649277184163
2016 Q3,Bradford's matched-control LADs,3,7762,58,133.82758620689654,112.68103448275862,118.76673552138321
2016 Q4,Bradford,1,1,1,1,2.25,44.44444444444444
2016 Q4,Bradford,2,34,1,34,39.75,85.53459119496856
2016 Q4,Bradford,3,347,1,347,236.75,146.56810982048574
2016 Q4,Bradford's matched-control LADs,1,76,37,2.054054054054054,1.9998290982555342,102.71147948821329
2016 Q4,Bradford's matched-control LADs,2,1275,58,21.982758620689655,20.573275862068964,106.85103708359523
2016 Q4,Bradford's matched-control LADs,3,8265,58,142.5,112.68103448275862,126.46316272664677
2017 Q1,Bradford,1,2,1,2,2.25,88.88888888888889
2017 Q1,Bradford,2,35,1,35,39.75,88.0503144654088
2017 Q1,Bradford,3,309,1,309,236.75,130.51742344244985
2017 Q1,Bradford's matched-control LADs,1,60,29,2.0689655172413794,1.9998290982555342,103.45711636290088
