quarter_year,group,n_casualties,n_collisions,casualties_per_collision,base_2019,casualty_index,collision_index,cpc_index
2015 Q1,Bradford treated OAs,156,117,1.3333333333333333,1.4208846033785598,160.41131105398458,170.1818181818182,93.83825612318914
2015 Q1,Other Bradford OAs,232,170,1.3647058823529412,1.3049926660555047,127.8236914600551,122.3021582733813,104.57575110195269
2015 Q2,Bradford treated OAs,146,98,1.489795918367347,1.4208846033785598,150.12853470437017,142.54545454545453,104.84988821927767
2015 Q2,Other Bradford OAs,261,194,1.3453608247422681,1.3049926660555047,143.80165289256198,139.568345323741,103.09336287756935
2015 Q3,Bradford treated OAs,133,103,1.2912621359223302,1.4208846033785598,136.76092544987148,149.8181818181818,90.87734027464194
2015 Q3,Other Bradford OAs,309,199,1.5527638190954773,1.3049926660555047,170.2479338842975,143.16546762589928,118.98640195342172
2015 Q4,Bradford treated OAs,171,125,1.368,1.4208846033785598,175.83547557840618,181.8181818181818,96.27805078239209
2015 Q4,Other Bradford OAs,279,230,1.2130434782608697,1.3049926660555047,153.71900826446281,165.46762589928056,92.95404562904079
2016 Q1,Bradford treated OAs,159,116,1.3706896551724137,1.4208846033785598,163.49614395886888,168.72727272727272,96.46734519560609
2016 Q1,Other Bradford OAs,273,204,1.338235294117647,1.3049926660555047,150.41322314049586,146.76258992805757,102.54734213661308
2016 Q2,Bradford treated OAs,109,76,1.4342105263157894,1.4208846033785598,112.08226221079691,110.54545454545455,100.93786102724621
2016 Q2,Other Bradford OAs,229,172,1.3313953488372092,1.3049926660555047,126.17079889807162,123.7410071942446,102.0232054530628
2016 Q3,Bradford treated OAs,158,113,1.3982300884955752,1.4208846033785598,162.46786632390746,164.36363636363637,98.40560487254791
2016 Q3,Other Bradford OAs,298,202,1.4752475247524752,1.3049926660555047,164.18732782369145,145.32374100719426,113.04642264477899
2016 Q4,Bradford treated OAs,149,97,1.5360824742268042,1.4208846033785598,153.2133676092545,141.0909090909091,108.10747548212771
2016 Q4,Other Bradford OAs,233,169,1.378698224852071,1.3049926660555047,128.37465564738292,121.58273381294964,105.64796728086986
2017 Q1,Bradford treated OAs,122,86,1.4186046511627908,1.4208846033785598,125.44987146529563,125.0909090909091,99.83953994502102
2017 Q1,Other Bradford OAs,224,182,1.2307692307692308,1.3049926660555047,123.4159779614325,130.93525179856115,94.31234847390958
2017 Q2,Bradford treated OAs,119,80,1.4875,1.4208846033785598,122.3650385604113,116.36363636363636,104.6883044874329
2017 Q2,Other Bradford OAs,206,153,1.34640522875817,1.3049926660555047,113.49862258953168,110.07194244604317,103.17339428640926
2017 Q3,Bradford treated OAs,144,104,1.3846153846153846,1.4208846033785598,148.07197943444731,151.27272727272728,97.44741982023488
2017 Q3,Other Bradford OAs,222,159,1.3962264150943395,1.3049926660555047,122.31404958677686,114.38848920863309,106.99113116969458
2017 Q4,Bradford treated OAs,131,92,1.423913043478261,1.4208846033785598,134.7043701799486,133.8181818181818,100.21313765329711
2017 Q4,Other Bradford OAs,196,157,1.2484076433121019,1.3049926660555047,107.98898071625344,112.94964028776978,95.66395856350383
2018 Q1,Bradford treated OAs,101,76,1.3289473684210527,1.4208846033785598,103.8560411311054,110.54545454545455,93.5295776490997
2018 Q1,Other Bradford OAs,171,129,1.3255813953488371,1.3049926660555047,94.21487603305785,92.80575539568345,101.57768927204505
2018 Q2,Bradford treated OAs,111,81,1.3703703703703705,1.4208846033785598,114.1388174807198,117.81818181818181,96.4448743488333
2018 Q2,Other Bradford OAs,220,167,1.3173652694610778,1.3049926660555047,121.21212121212122,120.14388489208633,100.94809754318166
2018 Q3,Bradford treated OAs,114,85,1.3411764705882352,1.4208846033785598,117.22365038560412,123.63636363636364,94.39024586509025
2018 Q3,Other Bradford OAs,217,171,1.2690058479532165,1.3049926660555047,119.55922865013774,123.02158273381295,97.24237391991922
2018 Q4,Bradford treated OAs,144,106,1.3584905660377358,1.4208846033785598,148.07197943444731,154.1818181818182,95.60878925758895
2018 Q4,Other Bradford OAs,213,156,1.3653846153846154,1.3049926660555047,117.35537190082644,112.23021582733813,104.62776158824346
2019 Q1,Bradford treated OAs,92,73,1.2602739726027397,1.4208846033785598,94.60154241645245,106.18181818181819,88.69643386986372
2019 Q1,Other Bradford OAs,159,125,1.272,1.3049926660555047,87.60330578512396,89.92805755395683,97.47181214778556
2019 Q2,Bradford treated OAs,103,74,1.3918918918918919,1.4208846033785598,105.91259640102828,107.63636363636364,97.95953088535624
2019 Q2,Other Bradford OAs,156,120,1.3,1.3049926660555047,85.9504132231405,86.33093525179856,99.617418075567
2019 Q3,Bradford treated OAs,91,60,1.5166666666666666,1.4208846033785598,93.573264781491,87.27272727272727,106.74101634012766
2019 Q3,Other Bradford OAs,192,142,1.352112676056338,1.3049926660555047,105.78512396694215,102.15827338129496,103.61074902767531
2019 Q4,Bradford treated OAs,103,68,1.5147058823529411,1.4208846033785598,105.91259640102828,98.9090909090909,106.60301890465239
2019 Q4,Other Bradford OAs,219,169,1.2958579881656804,1.3049926660555047,120.66115702479338,121.58273381294964,99.3000207489721
2020 Q1,Bradford treated OAs,105,73,1.4383561643835616,1.4208846033785598,107.96915167095116,106.18181818181819,101.22962561234446
2020 Q1,Other Bradford OAs,192,142,1.352112676056338,1.3049926660555047,105.78512396694215,102.15827338129496,103.61074902767531
2020 Q2,Bradford treated OAs,46,38,1.2105263157894737,1.4208846033785598,47.30077120822622,55.27272727272727,85.19525884868489
