LAD24CD,LAD24NM,quarter_year,n_casualties,n_collisions,base_2019,casualty_index,collision_index
E08000032,Bradford,2015 Q1,388,287,207.75,139.1928251121076,138.1468110709988
E08000032,Bradford,2015 Q2,407,292,207.75,146.00896860986546,140.55354993983153
E08000032,Bradford,2015 Q3,442,302,207.75,158.56502242152467,145.367027677497
E08000032,Bradford,2015 Q4,450,355,207.75,161.43497757847533,170.87845968712395
E08000032,Bradford,2016 Q1,432,320,207.75,154.97757847533632,154.03128760529484
E08000032,Bradford,2016 Q2,338,248,207.75,121.25560538116592,119.37424789410349
E08000032,Bradford,2016 Q3,456,315,207.75,163.58744394618833,151.6245487364621
E08000032,Bradford,2016 Q4,382,266,207.75,137.0403587443946,128.03850782190133
E08000032,Bradford,2017 Q1,346,268,207.75,124.12556053811659,129.00120336943442
E08000032,Bradford,2017 Q2,325,233,207.75,116.59192825112108,112.15403128760529
E08000032,Bradford,2017 Q3,366,263,207.75,131.30044843049328,126.59446450060169
E08000032,Bradford,2017 Q4,327,249,207.75,117.30941704035874,119.85559566787003
E08000032,Bradford,2018 Q1,272,205,207.75,97.57847533632287,98.676293622142
E08000032,Bradford,2018 Q2,331,248,207.75,118.74439461883408,119.37424789410349
E08000032,Bradford,2018 Q3,331,256,207.75,118.74439461883408,123.22503008423585
E08000032,Bradford,2018 Q4,357,262,207.75,128.07174887892376,126.11311672683514
E08000032,Bradford,2019 Q1,251,198,207.75,90.04484304932735,95.30685920577618
E08000032,Bradford,2019 Q2,259,194,207.75,92.91479820627802,93.38146811070999
E08000032,Bradford,2019 Q3,283,202,207.75,101.52466367713005,97.23225030084235
E08000032,Bradford,2019 Q4,322,237,207.75,115.51569506726457,114.07942238267148
E08000032,Bradford,2020 Q1,297,215,207.75,106.54708520179372,103.48977135980746
E08000032,Bradford,2020 Q2,156,121,207.75,55.964125560538115,58.24308062575211
E08000032,Bradford,2020 Q3,238,188,207.75,85.38116591928251,90.49338146811071
E08000032,Bradford,2020 Q4,231,170,207.75,82.86995515695067,81.82912154031288
E08000032,Bradford,2021 Q1,205,160,207.75,73.54260089686099,77.01564380264742
E08000032,Bradford,2021 Q2,421,296,207.75,151.03139013452915,142.4789410348977
E08000032,Bradford,2021 Q3,408,300,207.75,146.3677130044843,144.4043321299639
E08000032,Bradford,2021 Q4,412,304,207.75,147.80269058295963,146.32972322503008
E08000032,Bradford,2022 Q1,304,242,207.75,109.05829596412556,116.48616125150421
E08000032,Bradford,2022 Q2,334,262,207.75,119.82062780269058,126.11311672683514
E08000032,Bradford,2022 Q3,354,258,207.75,126.99551569506727,124.18772563176896
E08000032,Bradford,2022 Q4,404,301,207.75,144.93273542600897,144.88567990373045
E08000032,Bradford,2023 Q1,319,245,207.75,114.43946188340807,117.93020457280385
E08000032,Bradford,2023 Q2,395,290,207.75,141.70403587443946,139.59085439229844
E08000032,Bradford,2023 Q3,327,247,207.75,117.30941704035874,118.89290012033695
E08000032,Bradford,2023 Q4,337,272,207.75,120.89686098654708,130.9265944645006
E08000032,Bradford,2024 Q1,338,267,207.75,121.25560538116592,128.51985559566788
E08000032,Bradford,2024 Q2,336,253,207.75,120.53811659192826,121.78098676293622
E08000032,Bradford,2024 Q3,312,245,207.75,111.92825112107623,117.93020457280385
E08000032,Bradford,2024 Q4,346,266,207.75,124.12556053811659,128.03850782190133
E08000034,Kirklees,2015 Q1,304,212,144,160.21080368906456,147.22222222222223
