group,casualty_index_Post-2021,casualty_index_Pre-2021,collision_index_Post-2021,collision_index_Pre-2021,cpc_index_Post-2021,cpc_index_Pre-2021
Bradford,124.48430493273543,119.38714499252616,126.59446450060169,118.21099077416767,98.1808410224637,100.82361374494016
Bradford's matched-control LADs,86.24106770916781,105.42506488928765,88.97000789265982,104.87683296639388,96.87111667615068,100.27027390290081
