quarter_year,group,type,n_casualties,n_lads,casualties_per_lad,base_2019,casualty_index
2024 Q3,Bradford,Cyclist,24,1,24,20,120
2024 Q3,Bradford,Other,25,1,25,19.75,126.58227848101266
2024 Q3,Bradford,Pedestrian,61,1,61,61,100
2024 Q3,Bradford's matched-control LADs,Car or van driver or occupant,3536,58,60.96551724137931,79.96982758620689,76.23564922115023
2024 Q3,Bradford's matched-control LADs,Cyclist,879,58,15.155172413793103,17.58189655172414,86.19759745035547
2024 Q3,Bradford's matched-control LADs,Other,1051,58,18.120689655172413,15.288793103448278,118.5226952354102
2024 Q3,Bradford's matched-control LADs,Pedestrian,1011,58,17.43103448275862,21.67241379310345,80.42959427207636
2024 Q4,Bradford,Car or van driver or occupant,217,1,217,178,121.91011235955057
2024 Q4,Bradford,Cyclist,20,1,20,20,100
2024 Q4,Bradford,Other,26,1,26,19.75,131.64556962025316
2024 Q4,Bradford,Pedestrian,83,1,83,61,136.0655737704918
2024 Q4,Bradford's matched-control LADs,Car or van driver or occupant,4045,58,69.74137931034483,79.96982758620689,87.20961569557485
2024 Q4,Bradford's matched-control LADs,Cyclist,867,58,14.948275862068966,17.58189655172414,85.02083844079431
2024 Q4,Bradford's matched-control LADs,Other,910,58,15.689655172413794,15.288793103448278,102.62193402875668
2024 Q4,Bradford's matched-control LADs,Pedestrian,1365,58,23.53448275862069,21.67241379310345,108.59188544152744
