scheme,variable,label,smd_before,smd_after
Bradford,pct_minor_road,% Minor road,-0.2892,-0.1456
Bradford,log1p_dist_citycentre,Distance to city centre (m),1.9069,1.9274
Bradford,log1p_pop_density,Population density (persons/km²),0.5458,0.0988
Bradford,log1p_business_retail_per_km2,Retail businesses (per km²),1.5105,0.6447
Bradford,IMD,Index of Multiple Deprivation,1.218,0.6798
Bradford,cars_one_pct,% households: 1 car,-0.3711,-0.1782
Bradford,cars_twoPlus_pct,% households: 2+ cars,-0.9213,-0.2817
Bradford,Drive_Car_pct,% commuting: drive car,-1.3746,-0.6278
Bradford,Passenger_Car_pct,% commuting: car passenger,0.1293,0.0387
Bradford,Walk_pct,% commuting: walk,0.3676,0.0107
Bradford,Bicycle_pct,% commuting: bicycle,-0.8289,-0.8946
Bradford,bus_Coach_pct,bus_Coach_pct,0.1329,-0.0658
Bradford,Train_pct,% commuting: train,0.2219,-0.005
Bradford,Underground_train_tram_pct,% commuting: underground/tram,-0.2859,-0.198
Bradford,Taxi_pct,% commuting: taxi,0.6983,0.3438
Bradford,workAthome_pct,% working from home,-0.5105,-0.2495
Bradford,Other_pct,% commuting: other mode,0.3055,0.2007
Bradford,White_pct,% White,-2.1004,-1.0034
Bradford,Mixed_pct,% Mixed ethnicity,0.0117,-0.2117
Bradford,Asian_pct,% Asian,2.0902,1.0438
Bradford,Black_pct,% Black,0.1306,-0.2
Bradford,age_under15_pct,% aged under 15,0.8369,0.531
Bradford,age_15to24_pct,% aged 15–24,0.5621,0.2634
Bradford,age_25to44_pct,% aged 25–44,0.4528,0.154
Bradford,age_45to64_pct,% aged 45–64,-0.9574,-0.5427
Bradford,age_65to84_pct,% aged 65–84,-0.9966,-0.5978
Bradford,trend_car_pkm,Trend: car/km,-0.0347,0.0398
Bradford,trend_cyc_pkm,Trend: cycling/km,-0.1707,-0.039
Bradford,trend_ped_pkm,Trend: pedestrian/km,-0.0301,-0.0268
Bradford,trend_total_pkm,Trend: total injuries/km,-0.0647,-0.017
Bradford,log1p_mean_car_pkm,Mean: car/km (log),0.6979,0.0958
Bradford,log1p_mean_cyc_pkm,Mean: cycling/km (log),-0.0161,0.0502
Bradford,log1p_mean_ped_pkm,Mean: pedestrian/km (log),0.6894,0.0696
Bradford,log1p_mean_total_pkm,Mean: total injuries/km (log),0.7277,0.0988
Bristol,log1p_road_length_km,Road length (km),-0.3779,-0.027
Bristol,log1p_road_density_m_km2,Road density (m/km²),0.3993,0.0856
Bristol,log_area_km2,Area (km²),-0.7613,-0.2174
Bristol,pct_A_road,% A-road,0.7426,0.3371
Bristol,pct_B_road,% B-road,0.2374,-0.0179
Bristol,pct_minor_road,% Minor road,-0.8071,-0.2931
Bristol,log1p_dist_citycentre,Distance to city centre (m),1.8015,2.8625
Bristol,log1p_pop_density,Population density (persons/km²),0.7696,-0.0034
Bristol,log1p_business_retail_per_km2,Retail businesses (per km²),2.2337,0.9446
Bristol,IMD,Index of Multiple Deprivation,0.0475,-0.1067
Bristol,cars_one_pct,% households: 1 car,-0.0671,0.118
Bristol,cars_twoPlus_pct,% households: 2+ cars,-1.7798,-0.6999
Bristol,Drive_Car_pct,% commuting: drive car,-1.7257,-0.2292
Bristol,Passenger_Car_pct,% commuting: car passenger,-1.8354,-1.0843
Bristol,Walk_pct,% commuting: walk,3.2038,1.547
Bristol,Bicycle_pct,% commuting: bicycle,0.6951,0.5126
Bristol,bus_Coach_pct,bus_Coach_pct,-0.3652,-0.557
Bristol,Train_pct,% commuting: train,0.413,0.2388
