country,n_controls,mean_weight,median_weight,sd_weight,p90_weight,p95_weight,max_weight,eff_N,efficiency,n_at_cap,pct_at_cap
England,804,1,0.857,0.446,1.552,1.842,6.445,671,0.835,1,0.1
Overall,804,1,0.857,0.446,1.552,1.842,6.445,671,0.835,1,0.1
