variable,label,group,n,mean,sd,median,p25,p75
cars_twoPlus_pct,% households: 2+ cars,Scotland,201,5.5641,4.3164,4.6512,1.6393,7.9365
Drive_Car_pct,% commuting: drive car,Scotland,201,18.535,7.431,17.757,12.5,22.619
Passenger_Car_pct,% commuting: car passenger,Scotland,201,2.1645,2.2315,1.7857,0,3.5088
Walk_pct,% commuting: walk,Scotland,201,31.3276,3.0003,32.288,32.288,32.288
Bicycle_pct,% commuting: bicycle,Scotland,201,2.6893,3.1511,1.7857,0,4.2553
bus_Coach_pct,% commuting: bus/coach,Scotland,201,17.0446,8.2822,15.8537,10.6667,23.2877
Train_pct,% commuting: train,Scotland,201,5.1447,4.2988,4.6512,1.6667,7.4074
Underground_train_tram_pct,% commuting: underground/tram,Scotland,201,0.7177,1.4789,0,0,0
Taxi_pct,% commuting: taxi,Scotland,201,0.4037,0.8459,0,0,0
workAthome_pct,% working from home,Scotland,201,10.983,5.1854,11.1111,6.6667,14.4231
Other_pct,% commuting: other mode,Scotland,201,1.3747,1.5425,0.9615,0,2.7273
White_pct,% White,Scotland,201,73.4493,12.4598,74.7253,67.6471,82.5
Mixed_pct,% Mixed ethnicity,Scotland,201,3.6378,2.4036,3.3058,1.9868,4.8
Asian_pct,% Asian,Scotland,201,14.7193,10.3198,12.0879,7.6923,20
Black_pct,% Black,Scotland,201,3.9266,5.3909,2.1978,0.7874,4.908
age_under15_pct,% aged under 15,Scotland,201,4.7265,4.4222,3.125,1.229,6.5934
age_15to24_pct,% aged 15–24,Scotland,201,39.8727,16.6377,40.3509,27.027,59.2731
age_25to44_pct,% aged 25–44,Scotland,201,34.4014,12.8963,35.1648,24.7934,43.9394
age_45to64_pct,% aged 45–64,Scotland,201,13.313,8.5035,10.8434,5.4545,17.6471
age_65plus_pct,% aged 65+,Scotland,201,5.1937,5.5228,3.4826,1.2821,7.0064
trend_car_KSI_pkm,Trend: car KSI/km,Scotland,201,0.0037,0.0673,0,0,0
trend_car_slight_pkm,Trend: car slight/km,Scotland,201,-0.0255,0.0955,0,-0.0388,0
trend_cyc_KSI_pkm,Trend: cycling KSI/km,Scotland,201,-8e-4,0.0686,0,0,0
trend_cyc_slight_pkm,Trend: cycling slight/km,Scotland,201,-0.0202,0.0892,0,-0.0263,0
trend_ped_KSI_pkm,Trend: pedestrian KSI/km,Scotland,201,-0.0112,0.1092,0,-0.0104,0
trend_ped_slight_pkm,Trend: pedestrian slight/km,Scotland,201,-0.0359,0.1173,0,-0.0692,0
trend_other_KSI_pkm,Trend: other KSI/km,Scotland,201,-0.0063,0.0766,0,0,0
trend_other_slight_pkm,Trend: other slight/km,Scotland,201,-0.0301,0.0997,0,0,0
trend_total_pkm,Trend: total injuries/km,Scotland,201,-0.0376,0.1009,-0.0373,-0.0752,0.0042
mean_car_KSI_pkm,Mean: car KSI/km,Scotland,201,0.0071,0.0214,0,0,0
mean_car_slight_pkm,Mean: car slight/km,Scotland,201,0.1013,0.1557,0,0,0.1476
mean_cyc_KSI_pkm,Mean: cycling KSI/km,Scotland,201,0.0107,0.0229,0,0,0
mean_cyc_slight_pkm,Mean: cycling slight/km,Scotland,201,0.0483,0.0674,0,0,0.0871
mean_ped_KSI_pkm,Mean: pedestrian KSI/km,Scotland,201,0.0361,0.0452,0,0,0.0858
mean_ped_slight_pkm,Mean: pedestrian slight/km,Scotland,201,0.0893,0.085,0.0726,0,0.1759
mean_other_KSI_pkm,Mean: other KSI/km,Scotland,201,0.0097,0.0226,0,0,0
mean_other_slight_pkm,Mean: other slight/km,Scotland,201,0.0294,0.0493,0,0,0.0421
mean_total_pkm,Mean: total injuries/km,Scotland,201,0.4206,0.302,0.3362,0.1674,0.5758
