isolated,n,mean_road_length,mean_pop_density,mean_pct_minor,mean_IMD,mean_Drive_Car_pct,mean_dist_citycentre,mean_total_pkm,pct_scotland
Non-isolated,773,1.081,10910,84,35.7,19.1,8048,0.37406,24.7
Isolated,41,1.287,11764,62,32.9,16.5,5675,0.53439,24.4
