OA,weights,cum_weight,cum_pct
E00027689,4.130675526024363,4.130675526024363,0.16
E00050653,4.130675526024363,8.261351052048726,0.32
E00028594,4.130675526024363,12.39202657807309,0.48
E00072352,4.130675526024363,16.52270210409745,0.63
E00041995,4.130675526024363,20.653377630121813,0.79
E00181428,4.130675526024363,24.78405315614618,0.95
E00087081,4.130675526024363,28.91472868217054,1.11
E00185319,3.9716312056737593,32.8863598878443,1.26
E00187884,3.9716312056737593,36.85799109351806,1.42
E00181838,3.9716312056737593,40.82962229919182,1.57
E00090562,3.9716312056737593,44.80125350486558,1.72
E00087021,3.9716312056737593,48.77288471053934,1.87
E00181628,3.525,52.297884710539336,2.01
E00079708,3.3045404208194906,55.60242513135883,2.14
E00079534,3.3045404208194906,58.90696555217832,2.26
E00056290,3.3045404208194906,62.211505972997806,2.39
E00056894,3.3045404208194906,65.5160463938173,2.52
E00057221,3.3045404208194906,68.82058681463678,2.64
E00027676,3.3045404208194906,72.12512723545628,2.77
E00087140,3.3045404208194906,75.42966765627577,2.9
