group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero,baseline_mean,index_2019q2_2020q1
CAZ roads,2021 Q1,1359,7.358351729212656e-4,1,99.92641648270786,NA,NA
CAZ roads,2021 Q2,5121,0.00934066783831283,47.83356,99.21890255809413,NA,NA
CAZ roads,2021 Q3,5121,0.015049476664713924,77.06837,98.88693614528412,NA,NA
CAZ roads,2021 Q4,5121,0.015573161491896114,79.75016,98.86740870923649,NA,NA
CAZ roads,2022 Q1,5121,0.014102931068150752,72.22111,99.02362819761765,NA,NA
CAZ roads,2022 Q2,5121,0.01107661003710213,56.72332,99.10173794180824,NA,NA
CAZ roads,2022 Q3,15335,0.011457128790348875,175.69507,99.15878708835996,NA,NA
CAZ roads,2022 Q4,18540,0.013395909385113269,248.36016,98.9967637540453,NA,NA
CAZ roads,2023 Q1,20346,0.011372475179396442,231.38438,99.10547527769586,NA,NA
CAZ roads,2023 Q2,22004,0.011648287129612798,256.30891,99.12743137611344,NA,NA
CAZ roads,2023 Q3,23518,0.010781043030869972,253.54857,99.12407517646058,NA,NA
CAZ roads,2023 Q4,23518,0.011313934858406328,266.08112,99.0177736202058,NA,NA
CAZ roads,2024 Q1,23518,0.010996095756441875,258.60618,99.11982311421039,NA,NA
CAZ roads,2024 Q2,25731,0.011638565932144107,299.47194,99.12945474330574,NA,NA
CAZ roads,2024 Q3,25731,0.011193540476468073,288.02099,99.07893202751545,NA,NA
CAZ roads,2024 Q4,25731,0.013312984337958104,342.5564,99.02063658621896,NA,NA
Non-CAZ roads,2015 Q1,1850405,0.006495135227152988,12018.6307,99.49443500206712,0.005501126791161936,118.06917880147788
Non-CAZ roads,2015 Q2,1850405,0.006691446753548525,12381.88653,99.48405889521483,0.005501126791161936,121.63774818458914
Non-CAZ roads,2015 Q3,1850405,0.007179512301361052,13285.00546,99.45660544583484,0.005501126791161936,130.5098495983695
Non-CAZ roads,2015 Q4,1850405,0.007389951302552676,13674.40284,99.43423196543459,0.005501126791161936,134.33522954652327
Non-CAZ roads,2016 Q1,1850405,0.0066900491784231105,12379.30045,99.47881679956551,0.005501126791161936,121.61234293256588
Non-CAZ roads,2016 Q2,1850405,0.0065663586890437435,12150.42295,99.49956901327008,0.005501126791161936,119.3638855878254
Non-CAZ roads,2016 Q3,1850405,0.006704554365125459,12406.14092,99.48686909082066,0.005501126791161936,121.87601958015111
Non-CAZ roads,2016 Q4,1850405,0.0069233489857626,12810.99958,99.46298242817113,0.005501126791161936,125.85328876414184
Non-CAZ roads,2017 Q1,1850405,0.006149826778462026,11379.67022,99.51961867807317,0.005501126791161936,111.79212935688533
Non-CAZ roads,2017 Q2,1850405,0.0058632048443448895,10849.30356,99.54534277631113,0.005501126791161936,106.58188889164789
Non-CAZ roads,2017 Q3,1850405,0.006306980342141321,11670.46796,99.51778124248474,0.005501126791161936,114.64888161229192
Non-CAZ roads,2017 Q4,1850405,0.006557343257286905,12133.74075,99.48994949754243,0.005501126791161936,119.20000222176078
Non-CAZ roads,2018 Q1,1850405,0.005548851899989475,10267.6233,99.56647328557801,0.005501126791161936,100.86755151515894
Non-CAZ roads,2018 Q2,1850405,0.00588901356189592,10897.06014,99.54031684955456,0.005501126791161936,107.05104218570565
Non-CAZ roads,2018 Q3,1850405,0.005844328365952326,10814.37443,99.54285683404443,0.005501126791161936,106.2387504927495
Non-CAZ roads,2018 Q4,1850405,0.0062069068285051125,11485.29143,99.51086383791656,0.005501126791161936,112.82973587296837
Non-CAZ roads,2019 Q1,1850405,0.005354226501765828,9907.48749,99.575336210181,0.005501126791161936,97.32963272847816
Non-CAZ roads,2019 Q2,1850405,0.0053915913489209185,9976.62759,99.58252382586514,0.005501126791161936,98.0088544329319
Non-CAZ roads,2019 Q3,1850405,0.005588812249210313,10341.56613,99.56971581896936,0.005501126791161936,101.5939545001808
Non-CAZ roads,2019 Q4,1850405,0.006186777943207032,11448.04484,99.51783528470794,0.005501126791161936,112.46383110359604
Non-CAZ roads,2020 Q1,1850405,0.004837325623309479,8951.01152,99.61711084870609,0.005501126791161936,87.93335996329125
Non-CAZ roads,2020 Q2,1850405,0.00261549769374812,4839.73001,99.78815448509921,0.005501126791161936,47.54476297383577
