scheme,mean_stage2_smd_before,mean_stage2_smd_after,max_stage2_smd_after,n_stage2_imbalanced,all_stage2_balanced,n_treated,n_controls
Bath,0.1554,0.04,0.085,0,TRUE,45,132
Birmingham,0.5206,0.074,0.1251,3,FALSE,120,423
Bradford,0.2321,0.0323,0.0769,0,TRUE,258,1492
Bristol,0.5809,0.1037,0.2576,4,FALSE,47,336
Newcastle,0.5801,0.0807,0.2003,4,FALSE,27,53
Portsmouth,0.3428,0.0705,0.1837,3,FALSE,55,55
Sheffield,0.4336,0.1119,0.2263,6,FALSE,39,113
