group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero,baseline_mean,index_2019q2_2020q1
CAZ roads,2021 Q1,1359,7.358351729212656e-4,1,99.92641648270786,NA,NA
CAZ roads,2021 Q2,5121,0.00934066783831283,47.83356,99.21890255809413,NA,NA
CAZ roads,2021 Q3,5121,0.015049476664713924,77.06837,98.88693614528412,NA,NA
CAZ roads,2021 Q4,5121,0.015573161491896114,79.75016,98.86740870923649,NA,NA
CAZ roads,2022 Q1,5121,0.014102931068150752,72.22111,99.02362819761765,NA,NA
CAZ roads,2022 Q2,5121,0.01107661003710213,56.72332,99.10173794180824,NA,NA
CAZ roads,2022 Q3,15335,0.011457128790348875,175.69507,99.15878708835996,NA,NA
CAZ roads,2022 Q4,18540,0.013395909385113269,248.36016,98.9967637540453,NA,NA
CAZ roads,2023 Q1,20346,0.011372475179396442,231.38438,99.10547527769586,NA,NA
CAZ roads,2023 Q2,22004,0.011648287129612798,256.30891,99.12743137611344,NA,NA
CAZ roads,2023 Q3,23518,0.010781043030869972,253.54857,99.12407517646058,NA,NA
CAZ roads,2023 Q4,23518,0.011313934858406328,266.08112,99.0177736202058,NA,NA
CAZ roads,2024 Q1,23518,0.010996095756441875,258.60618,99.11982311421039,NA,NA
CAZ roads,2024 Q2,25731,0.011638565932144107,299.47194,99.12945474330574,NA,NA
CAZ roads,2024 Q3,25731,0.011193540476468073,288.02099,99.07893202751545,NA,NA
CAZ roads,2024 Q4,25731,0.013312984337958104,342.5564,99.02063658621896,NA,NA
Other roads,2015 Q1,28481,0.01626544714019873,463.2562,98.66928829746146,0.012404475790878128,131.12563089654978
Other roads,2015 Q2,28481,0.015815296513465117,450.43546,98.73599943822198,0.012404475790878128,127.49669377480025
Other roads,2015 Q3,28481,0.015156916891963064,431.68415,98.7605772269232,0.012404475790878128,122.18909648007049
Other roads,2015 Q4,28481,0.01854694076752923,528.23542,98.53235490326885,0.012404475790878128,149.5181342622159
Other roads,2016 Q1,28481,0.018236395140620063,519.39077,98.52182156525403,0.012404475790878128,147.01463768449247
Other roads,2016 Q2,28481,0.014567986025771567,414.91081,98.82377725501212,0.012404475790878128,117.44136770764966
Other roads,2016 Q3,28481,0.016910333555703802,481.62321,98.66577718478986,0.012404475790878128,136.32445127700717
Other roads,2016 Q4,28481,0.01781969488430884,507.52273,98.6271549454022,0.012404475790878128,143.65536427918136
Other roads,2017 Q1,28481,0.013692658263403672,389.9806,98.83431059302693,0.012404475790878128,110.3848199169596
Other roads,2017 Q2,28481,0.01458870404831291,415.50088,98.89751062111584,0.012404475790878128,117.60838824838528
Other roads,2017 Q3,28481,0.014531976756434114,413.88523,98.83079948035532,0.012404475790878128,117.15107515563442
Other roads,2017 Q4,28481,0.015394514939784417,438.45118,98.75355500158,0.012404475790878128,124.10451839573157
Other roads,2018 Q1,28481,0.01279446157087181,364.39906,98.98528843790598,0.012404475790878128,103.14391181512454
Other roads,2018 Q2,28481,0.014400711351427268,410.14666,98.85888838172818,0.012404475790878128,116.09286514160566
Other roads,2018 Q3,28481,0.01474386433060637,419.92,98.78515501562445,0.012404475790878128,118.85922935533121
Other roads,2018 Q4,28481,0.0158367764474562,451.04723,98.71493276219235,0.012404475790878128,127.66985654566781
Other roads,2019 Q1,28481,0.01243169656964292,354.06715,98.97124398721955,0.012404475790878128,100.21944320117751
Other roads,2019 Q2,28481,0.012769556897580843,363.68975,98.97124398721955,0.012404475790878128,102.94314014439195
Other roads,2019 Q3,28481,0.011732449352199711,334.15189,99.06955514202451,0.012404475790878128,94.5823874381487
Other roads,2019 Q4,28481,0.014464693655419402,411.96894,98.82728836768372,0.012404475790878128,116.60866528560841
Other roads,2020 Q1,28481,0.010651203258312559,303.35692,99.12222183209859,0.012404475790878128,85.86580713185096
Other roads,2020 Q2,28481,0.00445339313928584,126.83709,99.6278220568098,0.012404475790878128,35.901502122006065
Other roads,2020 Q3,28481,0.009134594642042063,260.16239,99.27671078964923,0.012404475790878128,73.63950557877959
Other roads,2020 Q4,28481,0.00829381096169376,236.21603,99.33639970506654,0.012404475790878128,66.86143857681414
Other roads,2021 Q1,27123,0.005835069866902629,158.2646,99.48751981712938,0.012404475790878128,47.04003591343667
