scheme,variable,label,smd_before,smd_after
Bristol,log1p_business_retail_per_km2,Retail density (log),2.2337,0.665
Bristol,log_area_km2,Area (log),-0.7613,-0.0502
Bristol,pct_A_road,% A road,0.7426,0.1104
Bristol,pct_B_road,% B road,0.2374,0.159
Bristol,pct_minor_road,% Minor road,-0.8071,-0.1781
Bristol,IMD,IMD,0.0475,-0.2635
Bristol,cars_one_pct,% 1 car,-0.0671,0.2178
Bristol,cars_twoPlus_pct,% 2+ cars,-1.7798,-0.4437
Bristol,Drive_Car_pct,% Drive to work,-1.7257,-0.1328
Bristol,Passenger_Car_pct,% Passenger car,-1.8354,-0.9272
Bristol,Walk_pct,% Walk to work,3.2038,0.9821
Bristol,Bicycle_pct,% Cycle to work,0.6951,0.5302
Bristol,bus_Coach_pct,% Bus/coach,-0.3652,-0.6557
Bristol,Train_pct,% Train,0.413,0.1866
Bristol,Underground_train_tram_pct,% Underground/tram,-0.3018,-0.5772
Bristol,Taxi_pct,% Taxi,-0.3067,-0.0094
Bristol,workAthome_pct,% Work from home,0.3732,0.5831
Bristol,Other_pct,% Other commute,0.4538,0.1118
Bristol,White_pct,% White,-0.4261,-0.0201
Bristol,Mixed_pct,% Mixed ethnicity,0.8728,0.2634
Bristol,Asian_pct,% Asian,0.0944,0.0375
Bristol,Black_pct,% Black,0.2688,-0.1383
Bristol,trend_total_pkm,Trend: total injuries/km,-0.0231,0.0944
Bristol,log1p_mean_total_pkm,Level: mean total injuries/km (log),1.5926,-0.0383
Newcastle,log1p_road_length_km,Road length (log),0.2924,0.3793
Newcastle,log1p_pop_density,Pop. density (log),0.365,-0.303
Newcastle,log1p_dist_citycentre,Dist. city centre (log),1.0946,1.4328
Newcastle,log1p_road_density_m_km2,Road density (log),0.8143,0.3841
Newcastle,log1p_business_retail_per_km2,Retail density (log),2.1168,0.1118
Newcastle,log_area_km2,Area (log),-0.2883,0.2079
Newcastle,pct_A_road,% A road,0.8508,0.2235
Newcastle,pct_B_road,% B road,0.7013,0.747
Newcastle,pct_minor_road,% Minor road,-1.3624,-0.7033
Newcastle,IMD,IMD,0.4541,-0.0738
Newcastle,cars_one_pct,% 1 car,-1.3265,-0.3463
Newcastle,cars_twoPlus_pct,% 2+ cars,-2.2242,-0.6926
Newcastle,Drive_Car_pct,% Drive to work,-2.5973,-0.3648
Newcastle,Passenger_Car_pct,% Passenger car,-1.7305,-0.6293
Newcastle,Walk_pct,% Walk to work,2.1884,0.3527
Newcastle,Bicycle_pct,% Cycle to work,-0.7379,-0.7738
Newcastle,bus_Coach_pct,% Bus/coach,0.1322,-0.1779
Newcastle,Train_pct,% Train,-0.1747,-0.4407
Newcastle,Underground_train_tram_pct,% Underground/tram,2.0206,1.0163
Newcastle,Taxi_pct,% Taxi,-0.2702,-0.2789
Newcastle,workAthome_pct,% Work from home,-0.3252,0.4255
Newcastle,Other_pct,% Other commute,-0.0517,-0.1955
Newcastle,White_pct,% White,-1.2093,-0.3024
Newcastle,Mixed_pct,% Mixed ethnicity,0.0069,-0.6996
Newcastle,Asian_pct,% Asian,1.0229,0.814
Newcastle,Black_pct,% Black,0.1807,-0.6036
Newcastle,trend_total_pkm,Trend: total injuries/km,-0.0102,0.0755
Newcastle,log1p_mean_total_pkm,Level: mean total injuries/km (log),1.4625,-0.0283
Portsmouth,log1p_road_length_km,Road length (log),-0.6027,-0.5047
Portsmouth,log1p_pop_density,Pop. density (log),1.0404,0.6185
Portsmouth,log1p_dist_citycentre,Dist. city centre (log),-0.2504,0.0184
Portsmouth,log1p_road_density_m_km2,Road density (log),0.6105,0.1919
Portsmouth,log1p_business_retail_per_km2,Retail density (log),1.3088,0.4613
Portsmouth,log_area_km2,Area (log),-0.9604,-0.6475
Portsmouth,pct_A_road,% A road,0.2208,-0.1208
Portsmouth,pct_B_road,% B road,0.0655,0.0365
Portsmouth,pct_minor_road,% Minor road,-0.2163,0.1129
Portsmouth,IMD,IMD,1.4575,0.6611
Portsmouth,cars_one_pct,% 1 car,-0.946,-0.3182
Portsmouth,cars_twoPlus_pct,% 2+ cars,-1.7102,-0.6501
Portsmouth,Drive_Car_pct,% Drive to work,-2.0328,-0.6605
Portsmouth,Passenger_Car_pct,% Passenger car,-0.4215,-0.1562
Portsmouth,Walk_pct,% Walk to work,1.4089,0.4887
Portsmouth,Bicycle_pct,% Cycle to work,0.7944,0.8196
Portsmouth,bus_Coach_pct,% Bus/coach,-0.5954,-0.6586
Portsmouth,Train_pct,% Train,-0.1898,0.2256
Portsmouth,Underground_train_tram_pct,% Underground/tram,-0.3237,-0.2525
Portsmouth,Taxi_pct,% Taxi,0.4109,0.3817
Portsmouth,workAthome_pct,% Work from home,-0.7637,-0.1298
Portsmouth,Other_pct,% Other commute,0.1416,0.0572
Portsmouth,White_pct,% White,-0.4928,-0.3346
Portsmouth,Mixed_pct,% Mixed ethnicity,0.1268,-0.1687
Portsmouth,Asian_pct,% Asian,0.1292,0.23
Portsmouth,Black_pct,% Black,0.6606,0.2916
Portsmouth,trend_total_pkm,Trend: total injuries/km,-0.0747,-0.09
Portsmouth,log1p_mean_total_pkm,Level: mean total injuries/km (log),0.9179,-0.0096
Sheffield,log1p_road_length_km,Road length (log),0.0292,0.2132
Sheffield,log1p_pop_density,Pop. density (log),0.7798,0.0145
Sheffield,log1p_dist_citycentre,Dist. city centre (log),1.4799,1.9871
Sheffield,log1p_road_density_m_km2,Road density (log),0.9909,0.5908
Sheffield,log1p_business_retail_per_km2,Retail density (log),2.1743,0.7755
Sheffield,log_area_km2,Area (log),-0.6545,-0.0496
Sheffield,pct_A_road,% A road,0.3192,0.0923
Sheffield,pct_B_road,% B road,0.3492,0.0829
Sheffield,pct_minor_road,% Minor road,-0.4876,-0.0967
Sheffield,IMD,IMD,0.3483,-0.2568
Sheffield,cars_one_pct,% 1 car,-1.5541,-0.4327
Sheffield,cars_twoPlus_pct,% 2+ cars,-2.2806,-0.872
Sheffield,Drive_Car_pct,% Drive to work,-2.5747,-0.5586
Sheffield,Passenger_Car_pct,% Passenger car,-1.8629,-0.8023
Sheffield,Walk_pct,% Walk to work,1.9422,0.4623
Sheffield,Bicycle_pct,% Cycle to work,-0.6989,-0.7299
Sheffield,bus_Coach_pct,% Bus/coach,-0.2165,-0.5375
Sheffield,Train_pct,% Train,0.1849,0.108
Sheffield,Underground_train_tram_pct,% Underground/tram,1.6407,1.1333
Sheffield,Taxi_pct,% Taxi,-0.4057,-0.2372
Sheffield,workAthome_pct,% Work from home,-0.5141,-0.0545
Sheffield,Other_pct,% Other commute,-0.2303,-0.1578
Sheffield,White_pct,% White,-1.5046,-0.5425
Sheffield,Mixed_pct,% Mixed ethnicity,0.5324,-0.2529
Sheffield,Asian_pct,% Asian,0.9703,0.7241
Sheffield,Black_pct,% Black,0.6316,-0.0446
Sheffield,trend_total_pkm,Trend: total injuries/km,-0.2239,0.0821
Sheffield,log1p_mean_total_pkm,Level: mean total injuries/km (log),1.1455,-0.135
