group3,quarter_year,n_roads,mean_injuries,total_injuries,pct_zero
CAZ roads,2021 Q1,1359,7.358351729212656e-4,1,99.92641648270786
CAZ roads,2021 Q2,5121,0.00934066783831283,47.83356,99.21890255809413
CAZ roads,2021 Q3,5121,0.015049476664713924,77.06837,98.88693614528412
CAZ roads,2021 Q4,5121,0.015573161491896114,79.75016,98.86740870923649
CAZ roads,2022 Q1,5121,0.014102931068150752,72.22111,99.02362819761765
CAZ roads,2022 Q2,5121,0.01107661003710213,56.72332,99.10173794180824
CAZ roads,2022 Q3,15335,0.011457128790348875,175.69507,99.15878708835996
CAZ roads,2022 Q4,18540,0.013395909385113269,248.36016,98.9967637540453
CAZ roads,2023 Q1,20346,0.011372475179396442,231.38438,99.10547527769586
CAZ roads,2023 Q2,22004,0.011648287129612798,256.30891,99.12743137611344
CAZ roads,2023 Q3,23518,0.010781043030869972,253.54857,99.12407517646058
CAZ roads,2023 Q4,23518,0.011313934858406328,266.08112,99.0177736202058
CAZ roads,2024 Q1,23518,0.010996095756441875,258.60618,99.11982311421039
CAZ roads,2024 Q2,25731,0.011638565932144107,299.47194,99.12945474330574
CAZ roads,2024 Q3,25731,0.011193540476468073,288.02099,99.07893202751545
CAZ roads,2024 Q4,25731,0.013312984337958104,342.5564,99.02063658621896
Other roads,2015 Q1,28481,0.01626544714019873,463.2562,98.66928829746146
Other roads,2015 Q2,28481,0.015815296513465117,450.43546,98.73599943822198
Other roads,2015 Q3,28481,0.015156916891963064,431.68415,98.7605772269232
Other roads,2015 Q4,28481,0.01854694076752923,528.23542,98.53235490326885
Other roads,2016 Q1,28481,0.018236395140620063,519.39077,98.52182156525403
Other roads,2016 Q2,28481,0.014567986025771567,414.91081,98.82377725501212
Other roads,2016 Q3,28481,0.016910333555703802,481.62321,98.66577718478986
Other roads,2016 Q4,28481,0.01781969488430884,507.52273,98.6271549454022
Other roads,2017 Q1,28481,0.013692658263403672,389.9806,98.83431059302693
Other roads,2017 Q2,28481,0.01458870404831291,415.50088,98.89751062111584
Other roads,2017 Q3,28481,0.014531976756434114,413.88523,98.83079948035532
Other roads,2017 Q4,28481,0.015394514939784417,438.45118,98.75355500158
Other roads,2018 Q1,28481,0.01279446157087181,364.39906,98.98528843790598
Other roads,2018 Q2,28481,0.014400711351427268,410.14666,98.85888838172818
Other roads,2018 Q3,28481,0.01474386433060637,419.92,98.78515501562445
Other roads,2018 Q4,28481,0.0158367764474562,451.04723,98.71493276219235
Other roads,2019 Q1,28481,0.01243169656964292,354.06715,98.97124398721955
Other roads,2019 Q2,28481,0.012769556897580843,363.68975,98.97124398721955
Other roads,2019 Q3,28481,0.011732449352199711,334.15189,99.06955514202451
Other roads,2019 Q4,28481,0.014464693655419402,411.96894,98.82728836768372
Other roads,2020 Q1,28481,0.010651203258312559,303.35692,99.12222183209859
Other roads,2020 Q2,28481,0.00445339313928584,126.83709,99.6278220568098
Other roads,2020 Q3,28481,0.009134594642042063,260.16239,99.27671078964923
Other roads,2020 Q4,28481,0.00829381096169376,236.21603,99.33639970506654
Other roads,2021 Q1,27123,0.005835069866902629,158.2646,99.48751981712938
Other roads,2021 Q2,23363,0.012256102812138852,286.33933,99.10542310490948
Other roads,2021 Q3,23363,0.013772634935581902,321.77007,98.93849248812224
Other roads,2021 Q4,23363,0.013346632281813124,311.81737,98.95133330479818
Other roads,2022 Q1,23363,0.012958173179814236,302.7418,98.97701493815006
Other roads,2022 Q2,23363,0.010885734280700252,254.32341,99.12682446603604
Other roads,2022 Q3,13177,0.012828560370342263,169.04194,98.92995370721712
Other roads,2022 Q4,9984,0.011932781450320513,119.13689,98.96834935897436
Other roads,2023 Q1,8195,0.0110408163514338,90.47949,99.03599755948748
Other roads,2023 Q2,6553,0.015735722569815352,103.11619,98.931786967801
Other roads,2023 Q3,5043,0.009389131469363474,47.34939,99.1076740035693
Other roads,2023 Q4,5043,0.01788617886178862,90.2,98.71108467182232
Other roads,2024 Q1,5043,0.012140969660916122,61.226910000000004,98.98869720404521
Other roads,2024 Q2,2850,0.015499940350877192,44.17483,98.7719298245614
Other roads,2024 Q3,2850,0.019817171929824563,56.47894,98.52631578947368
Other roads,2024 Q4,2850,0.011330094736842105,32.29077,99.01754385964912
Same-city candidate controls,2015 Q1,1821924,0.006342402043114856,11555.3745,99.5073340051506
Same-city candidate controls,2015 Q2,1821924,0.006548819308599034,11931.45107,99.49575284150161
Same-city candidate controls,2015 Q3,1821924,0.007054806517725237,12853.32131,99.46748602027307
Same-city candidate controls,2015 Q4,1821924,0.007215541054401837,13146.16742,99.44833044627548
Same-city candidate controls,2016 Q1,1821924,0.006509552363325786,11859.90968,99.49377690836721
Same-city candidate controls,2016 Q2,1821924,0.00644127424634616,11735.51214,99.51013324375769
Same-city candidate controls,2016 Q3,1821924,0.0065450137931110245,11924.51771,99.49970470777046
Same-city candidate controls,2016 Q4,1821924,0.006753013215699454,12303.47685,99.4760483971889
Same-city candidate controls,2017 Q1,1821924,0.006031914404772095,10989.68962,99.53033167135402
Same-city candidate controls,2017 Q2,1821924,0.005726804564844631,10433.80268,99.5554699317864
Same-city candidate controls,2017 Q3,1821924,0.006178404110160471,11256.58273,99.52852039931413
Same-city candidate controls,2017 Q4,1821924,0.006419197271675449,11695.28957,99.50146109277884
Same-city candidate controls,2018 Q1,1821924,0.005435585809287313,9903.22424,99.57555858531968
Same-city candidate controls,2018 Q2,1821924,0.005755955506376786,10486.91348,99.55096919520243
Same-city candidate controls,2018 Q3,1821924,0.005705207478467822,10394.45443,99.55470151334524
Same-city candidate controls,2018 Q4,1821924,0.006056369091136632,11034.2442,99.52330613132052
Same-city candidate controls,2019 Q1,1821924,0.005243588832465029,9553.42034,99.58477960661367
Same-city candidate controls,2019 Q2,1821924,0.00527625622144503,9612.93784,99.59207958180473
Same-city candidate controls,2019 Q3,1821924,0.005492772607419401,10007.41424,99.57753451845412
Same-city candidate controls,2019 Q4,1821924,0.006057374456892832,11036.0759,99.52863017337715
Same-city candidate controls,2020 Q1,1821924,0.004746440905328657,8647.6546,99.62484713961724
Same-city candidate controls,2020 Q2,1821924,0.0025867670221150856,4712.89292,99.79066086181422
Same-city candidate controls,2020 Q3,1821924,0.004383754278444108,7986.86713,99.65404704038149
Same-city candidate controls,2020 Q4,1821924,0.004479460021383983,8161.23572,99.64043505656657
Same-city candidate controls,2021 Q1,1821923,0.0032446680238407354,5911.5353,99.73769473243381
Same-city candidate controls,2021 Q2,1821921,0.0049382304117467244,8997.06569,99.61178338687571
Same-city candidate controls,2021 Q3,1821921,0.00502030865772994,9146.60577,99.60360520571419
Same-city candidate controls,2021 Q4,1821921,0.0053091859416516856,9672.91736,99.58044284027683
Same-city candidate controls,2022 Q1,1821921,0.004861222775301463,8856.76386,99.61749164755223
Same-city candidate controls,2022 Q2,1821921,0.004827036095417963,8794.47843,99.61836984150246
Same-city candidate controls,2022 Q3,1821893,0.005013554006739136,9134.158950000001,99.61133831679467
Same-city candidate controls,2022 Q4,1821881,0.005065797091028439,9229.27947,99.59580236030784
Same-city candidate controls,2023 Q1,1821864,0.004598263146974741,8377.41009,99.63455010911902
Same-city candidate controls,2023 Q2,1821848,0.0048259735115113965,8792.19019,99.62323969946999
Same-city candidate controls,2023 Q3,1821844,0.004755074161124673,8663.00333,99.62752024871504
Same-city candidate controls,2023 Q4,1821844,0.005039746756582894,9181.63239,99.6032042260479
Same-city candidate controls,2024 Q1,1821844,0.0044622858927548135,8129.58878,99.64420663898775
Same-city candidate controls,2024 Q2,1821824,0.004743141263920107,8641.16859,99.625924348345393
Same-city candidate controls,2024 Q3,1821824,0.004614061127748904,8406.0073,99.63256604370126
Same-city candidate controls,2024 Q4,1821824,0.00508925981324211,9271.73567,99.59578971404483
