model,estimate,se,ci_lo,ci_hi
C&S full sample,0.006437594932144816,0.0044626551905114255,-0.0023092092412575777,0.01518439910554721
C&S excluding COVID,-0.002436420265763169,0.005054969719434145,-0.012344160915854094,0.007471320384327756
