event_time,estimate,ci_lo,ci_hi
-8,-0.005975240908658433,-0.03386270529556728,0.021912223478250413
-7,0.007764009778430677,-0.020890728127013446,0.0364187476838748
-6,0.04093467584444188,-0.0033681587821461495,0.08523751047102991
-5,-0.03816666886663901,-0.07084658244754219,-0.005486755285735834
-4,-0.0076665522597216505,-0.02311710251031663,0.007783997990873329
-3,0.022534942735672633,0.006716951479452782,0.038352933991892484
-2,-0.009398923977399576,-0.02291555890266459,0.004117710947865439
-1,0.0016554132219945264,-0.01227995733035505,0.015590783774344103
