scheme,treated_oas,control_oas,matched_pairs
Bath,45,90,90
Birmingham,120,231,240
Bradford,258,1158,1290
Bristol,47,135,141
Newcastle,27,105,108
Portsmouth,55,55,55
Sheffield,39,38,39
