control_OA,matched_schemes,matched_to,n_pair_rows,n_treated_matched,max_distance_km,mean_distance_km,LAD24CD,LAD24NM,area_km2,map_geom_area_km2,n_roads,road_length_km,road_density_m_km2,pop_density,mean_total_pkm,trend_total_pkm,extreme_area_control,extreme_distance_control
E00036468,Birmingham,E00046383,1,1,134.60814110912122,134.60814110912122,E08000015,Wirral,11.454255370794991,11.454255370794991,65,4.850505685439076,423.46756977380215,26.88956986111119,0.04882387844857512,21.345880592419974,TRUE,FALSE
E00051151,Sheffield,E00172452,1,1,107.5341123389814,107.5341123389814,E08000029,Solihull,4.99288743346739,4.99288743346739,117,18.292490623039875,3663.709800550493,34.84957398271704,0.08473422411094388,0.01116621842894646,TRUE,FALSE
E00065039,Portsmouth,E00086049,1,1,328.6234268947561,328.6234268947561,E06000010,"Kingston upon Hull, City of",4.696023518606021,4.696023518606021,333,22.117624061725518,4709.862285419509,68.35570535968833,0.29625860724069114,-0.019678419534737066,TRUE,FALSE
E00084992,Bradford,E00054128,1,1,207.75947124874514,207.75947124874514,E06000042,Milton Keynes,1.0441661046768058,1.0441661046768058,186,12.24983396249163,11731.690875259013,321.78788268941173,0.3237364287665307,-0.006966519985196137,TRUE,FALSE
E00181102,Birmingham,"E00175700, E00186195",2,2,275.6615984181306,275.47182316457224,E06000026,Plymouth,0.9947479228429682,0.9947479228429682,371,14.48178127187143,14558.242283615744,456.3970324285551,0.17916722061254423,0.01673281761103194,TRUE,FALSE
E00108019,Bradford,E00054163,1,1,287.03573892594864,287.03573892594864,E07000066,Basildon,0.8726173011844485,0.8726173011844485,152,10.255233533963716,11752.269316736854,491.6244491344558,0.30020691287076573,-0.023181312932058558,TRUE,FALSE
E00044156,Bradford,E00054411,1,1,123.27883765522044,123.27883765522044,E08000024,Sunderland,0.7991648799913968,0.7991648799913968,132,9.026363918789556,11294.74548341855,351.6170530454554,0.22627948733025363,-0.03590261109283938,TRUE,FALSE
E00068819,Bradford,E00053583,1,1,133.1606576245388,133.1606576245388,E06000016,Leicester,0.7166495324313179,0.7166495324313179,70,4.433559511536684,6186.5100176585775,562.3390259291386,0.1435336546953069,-0.011964423450680219,TRUE,FALSE
E00057727,Bradford,E00054490,1,1,8.751438728436213,8.751438728436213,E08000035,Leeds,0.603134187480608,0.603134187480608,92,5.16368171991984,8561.414403466993,799.1588107671269,0.3144665159620271,-0.03281494844555167,TRUE,FALSE
E00069308,Bradford,E00054424,1,1,138.68433103247511,138.68433103247511,E06000016,Leicester,0.5789889381350044,0.5789889381350044,110,5.937307122092558,10254.612361364561,1074.2865001938371,0.17325842824809887,-0.03265651512025273,TRUE,FALSE
E00101304,Bradford,E00054419,1,1,368.0277650526943,368.0277650526943,E07000041,Exeter,0.5372658191815083,0.5372658191815083,40,3.2599359348641763,6067.640669623261,549.0764338021996,0.09174106668831226,-0.061098013682483576,TRUE,FALSE
E00064591,Bradford,E00054638,1,1,95.33278465869965,95.33278465869965,E06000010,"Kingston upon Hull, City of",0.511458502929686,0.5114585029296914,176,7.948745675453952,15541.330586788072,496.61897992713455,0.35030596193291563,-0.02049989122377442,TRUE,FALSE
E00101132,Portsmouth,E00086519,1,1,171.9661957325832,171.9661957325832,E07000041,Exeter,0.4402681255765751,0.4402681255765751,96,5.320246016945232,12084.10445334383,1201.5405369335372,0.14018205128570796,-0.08415911275619531,TRUE,FALSE
E00072138,Bradford,E00054209,1,1,90.88803684035577,90.88803684035577,E06000021,Stoke-on-Trent,0.3934916181756598,0.3934916181756598,173,7.752453531847016,19701.699283429767,1029.2468283764122,0.12864043568957698,-0.11539982494620654,FALSE,FALSE
E00079522,Bradford,E00054643,1,1,228.98460673022257,228.98460673022257,E06000032,Luton,0.38512461780753815,0.38512461780753815,94,5.538910172521525,14382.124425215361,1147.6804638359542,0.49615184474980223,-0.027096696344842765,FALSE,FALSE
E00180776,Bradford,E00177753,1,1,47.011875141370325,47.011875141370325,E08000003,Manchester,0.3809314063933094,0.3809314063933094,225,7.174910176232411,18835.176243841546,2514.888465276267,0.22738598253179762,-0.021318077355204072,FALSE,FALSE
E00044977,Bradford,E00054401,1,1,121.79761925463443,121.79761925463443,E08000024,Sunderland,0.37352350212799107,0.37352350212799107,96,4.739492514280593,12688.605903723199,859.3836751134513,0.06262927921198669,-0.03915790443978656,FALSE,FALSE
E00177099,Birmingham,E00046344,1,1,121.37224546458116,121.37224546458116,E06000032,Luton,0.3474619078619116,0.3474619078619116,134,5.007757936086817,14412.394057529325,1533.9811010645374,0.6673480512940798,-0.02271709251959424,FALSE,FALSE
E00052737,Bradford,E00053635,1,1,136.63691958881563,136.63691958881563,E08000031,Wolverhampton,0.3430687915571752,0.3430687915571752,67,2.162922957731084,6304.633388288295,1098.9049697257872,0.3465204330653672,-0.09426398266034354,FALSE,FALSE
E00048342,Bradford,E00054148,1,1,155.02362426555288,155.02362426555288,E08000026,Coventry,0.3418426625309652,0.3418426625309652,62,3.412434752228733,9982.47183942298,1099.9212246246202,0.23437166072630347,0.06583872987634991,FALSE,FALSE
E00174487,Bradford,E00054412,1,1,268.03142468081904,268.03142468081904,E06000038,Reading,0.33586591986225534,0.33586591986225534,179,5.582958561049536,16622.581306669064,1259.4311449446252,0.5029118467023291,-2.3829445613461072e-4,FALSE,FALSE
E00136255,Bradford,E00054217,1,1,234.75530715481563,234.75530715481563,E07000148,Norwich,0.3228827604696049,0.3228827604696049,85,3.9607455165680343,12266.822517273684,873.3820275503576,0.1764468323139224,3.676232488343997e-4,FALSE,FALSE
E00137464,Bradford,E00054413,1,1,173.73152915364017,173.73152915364017,E06000062,West Northamptonshire,0.3209623874486163,0.3209623874486163,71,3.1156484475786415,9707.207353314672,1900.5342178845067,0.016048023659042156,-0.015060374493010191,FALSE,FALSE
E00069357,Bradford,E00054628,1,1,135.57607766668704,135.57607766668704,E06000016,Leicester,0.3047906728686462,0.3047906728686462,152,5.411811822102175,17755.83147334194,1676.5604904852933,0.5154363439999402,-0.06095769564112775,FALSE,FALSE
E00181852,Bristol,E00178086,1,1,124.71619925749553,124.71619925749553,E08000028,Sandwell,0.30141280713031116,0.30141280713031116,13,0.49779487021849694,1651.538549267029,826.109555100453,0.30060775824049396,-0.06660042661863289,FALSE,FALSE
E00187030,Sheffield,E00172499,1,1,47.41334112737708,47.41334112737708,E08000035,Leeds,0.2934301858331934,0.2934301858331934,92,4.297363082727745,14645.265859493653,1284.8030577682748,0.598065941956347,-2.685212275737683e-4,FALSE,FALSE
E00036406,Bradford,E00054154,1,1,99.22837223344386,99.22837223344386,E08000015,Wirral,0.28451419293521696,0.28451419293521696,11,1.2651405069878223,4446.6692291723075,896.2646023710414,0.039521301961191004,-0.6931376400107773,FALSE,FALSE
E00162087,Bristol,E00178105,1,1,172.1964506548173,172.1964506548173,E07000229,Worthing,0.28308822198496014,0.28308822198496014,60,1.520665292361305,5371.701025562606,1052.6753741659802,0.5577966461527323,0.055248526861351184,FALSE,FALSE
E00053271,Bradford,E00054390,1,1,141.53695134160125,141.53695134160125,E08000031,Wolverhampton,0.2596851298036206,0.2596851298036206,39,2.568197256584976,9889.658520405468,1293.8746252205135,0.23345909215605518,0.015277568276951096,FALSE,FALSE
E00171693,Birmingham,E00186100,1,1,126.50636760565823,126.50636760565823,E08000001,Bolton,0.25936259996044436,0.25936259996044436,126,4.581077081522951,17662.82834233469,1534.5311932433565,0.6858331444961214,-0.01982601347647653,FALSE,FALSE
E00028355,Portsmouth,E00179966,1,1,310.0127297867662,310.0127297867662,E08000006,Salford,0.25547609385808007,0.25547609385808007,185,6.65524831210569,26050.3760316719,755.4522894310954,0.15308692511844785,0.026400532923295923,FALSE,FALSE
E00055850,Bradford,E00053579,1,1,16.88456716764834,16.88456716764834,E08000034,Kirklees,0.25463260729059317,0.25463260729059317,53,2.461229206738209,9665.805306424845,1629.7991228059473,0.019793158583779828,0.2818425232389213,FALSE,FALSE
E00084974,Portsmouth,E00174447,1,1,138.63603054762137,138.63603054762137,E06000042,Milton Keynes,0.25445380199064965,0.25445380199064965,97,3.7299486809241307,14658.647863556758,1992.5031421563533,0.30685542829410334,0.0819567819342353,FALSE,FALSE
