model,model_type,estimate_log_irr,se,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
No COVID adjustment,Support,0.13079592535198697,0.03823144788044991,0.05586228750630515,0.2057295631976688,1.1397351665244706,1.0574520493503254,1.2284209488370055,13.97351665244706,5.745204935032544,22.842094883700547
Pooled COVID adjustment,Support,0.02828256019939753,0.042101692338163806,-0.05423675678340353,0.11080187718219858,1.0286863091686345,0.9472078220752471,1.117173547355823,2.868630916863446,-5.279217792475288,11.717354735582308
Flexible scheme COVID adjustment,Main,0.017076917011622665,0.04151234291642653,-0.06428727510457333,0.09844110912781867,1.0172235611127283,0.9377355727480555,1.1034494193821827,1.722356111272827,-6.226442725194447,10.344941938218266
"Flexible scheme COVID, link-weighted",Support,0.1464596868991145,0.038531083481725494,0.07093876327493255,0.22198061052329648,1.1577282582616317,1.073515485282881,1.2485471689533394,15.772825826163173,7.351548528288099,24.85471689533394
