model,estimate_log_irr,se,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
Analysis-weighted: no COVID interactions,0.13567003516749673,0.0397754406890716,0.057710171416916395,0.21362989891807707,1.1453039212229643,1.0594079045186604,1.2381643240284066,14.530392122296432,5.94079045186604,23.81643240284066
Analysis-weighted: COVID-adjusted,0.03538158838290517,0.04372752834770274,-0.050324367178592205,0.12108754394440255,1.0360149646573344,0.9509209269320427,1.1287237209689078,3.6014964657334447,-4.9079073067957335,12.872372096890782
Link-weighted: COVID-adjusted,0.1426709410951641,0.03948315345153001,0.06528396033016529,0.2200579218601629,1.1533502190569416,1.0674620982415355,1.24614890775982,15.335021905694157,6.746209824153548,24.614890775982
