model,estimate_log_irr,se,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
No COVID interactions,0.010380900382425283,0.049083303967708394,-0.08582237539428317,0.10658417615913374,1.0104349688599985,0.9177572330098153,1.1124715660880953,1.0434968859998506,-8.224276699018473,11.247156608809528
With COVID interactions,-0.09422344034259807,0.0537577079576729,-0.19958854793963696,0.011141667254440824,0.9100793910700189,0.8190676908453343,1.011203966787618,-8.992060892998111,-18.093230915466574,1.1203966787618036
