scheme,mean_log_irr,se_log_irr,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
Bath,-0.8476500554499529,1.575048720985422,-3.93474554858138,2.239445437681474,0.428420514407422,0.019550673391198495,9.388123544007938,-57.1579485592578,-98.04493266088015,838.8123544007938
Birmingham,0.10534522386589107,0.059275114240145955,-0.010834000044794997,0.22152444777657715,1.111094120361093,0.9892244763653597,1.2479777581292177,11.10941203610929,-1.0775523634640294,24.797775812921774
Bradford,0.1398687671390757,0.037751945596091484,0.06587495377073639,0.21386258050741502,1.1501228550403682,1.0680931477943603,1.238452455591338,15.012285504036814,6.8093147794360265,23.845245559133808
Bristol,0.4837468007995844,0.12189695260501619,0.24482877369375264,0.7226648279054161,1.622140868879319,1.2774025695545117,2.0599152226586015,62.214086887931906,27.74025695545117,105.99152226586016
Newcastle,-0.07966925683521131,0.19447802495380279,-0.46084618574466474,0.3015076720742421,0.9234217113044039,0.6307496882306366,1.3518954869408628,-7.657828869559613,-36.92503117693634,35.189548694086284
Portsmouth,-0.023864404638841676,0.15616380472056687,-0.3299454618911527,0.2822166526134694,0.9764180985467676,0.7189629432419578,1.3260659845285425,-2.3581901453232357,-28.103705675804225,32.60659845285425
Sheffield,-0.6337379627790621,0.12314572826892194,-0.8751035901861491,-0.39237233537197513,0.5306047088302948,0.41681883910087203,0.6754525722498537,-46.939529116970526,-58.3181160899128,-32.45474277501464
