scheme,quarter_year,group,n_units,mean_injuries,total_injuries,caz_start_q,implementation_period
Sheffield,2020 Q3,Matched controls,437,0.03185020594965675,13.91854,2023 Q2,Pre implementation
Sheffield,2020 Q4,CAZ roads,454,0.030837004405286344,14,2023 Q2,Pre implementation
Sheffield,2020 Q4,Matched controls,437,0.015632814645308923,6.83154,2023 Q2,Pre implementation
Sheffield,2021 Q1,CAZ roads,454,0.00881057268722467,4,2023 Q2,Pre implementation
Sheffield,2021 Q1,Matched controls,437,0.030361670480549198,13.26805,2023 Q2,Pre implementation
Sheffield,2021 Q2,CAZ roads,454,0.02643171806167401,12,2023 Q2,Pre implementation
Sheffield,2021 Q2,Matched controls,437,0.02929162471395881,12.80044,2023 Q2,Pre implementation
Sheffield,2021 Q3,CAZ roads,454,0.037444933920704845,17,2023 Q2,Pre implementation
Sheffield,2021 Q3,Matched controls,437,0.03062162471395881,13.38165,2023 Q2,Pre implementation
Sheffield,2021 Q4,CAZ roads,454,0.07268722466960352,33,2023 Q2,Pre implementation
Sheffield,2021 Q4,Matched controls,437,0.05578922196796339,24.37989,2023 Q2,Pre implementation
Sheffield,2022 Q1,CAZ roads,454,0.06167400881057269,28,2023 Q2,Pre implementation
Sheffield,2022 Q1,Matched controls,437,0.03071608695652174,13.42293,2023 Q2,Pre implementation
Sheffield,2022 Q2,CAZ roads,454,0.028634361233480177,13,2023 Q2,Pre implementation
Sheffield,2022 Q2,Matched controls,437,0.029317528604118993,12.81176,2023 Q2,Pre implementation
Sheffield,2022 Q3,CAZ roads,454,0.03303964757709251,15,2023 Q2,Pre implementation
Sheffield,2022 Q3,Matched controls,437,0.05359974828375286,23.42309,2023 Q2,Pre implementation
Sheffield,2022 Q4,CAZ roads,454,0.05286343612334802,24,2023 Q2,Pre implementation
Sheffield,2022 Q4,Matched controls,437,0.041927986270022886,18.32253,2023 Q2,Pre implementation
Sheffield,2023 Q1,CAZ roads,454,0.046255506607929514,21,2023 Q2,Pre implementation
Sheffield,2023 Q1,Matched controls,437,0.042137643020594966,18.41415,2023 Q2,Pre implementation
Sheffield,2023 Q2,CAZ roads,454,0.03303964757709251,15,2023 Q2,Implementation quarter
Sheffield,2023 Q2,Matched controls,437,0.021739199084668193,9.50003,2023 Q2,Implementation quarter
Sheffield,2023 Q3,CAZ roads,454,0.04405286343612335,20,2023 Q2,Post implementation
Sheffield,2023 Q3,Matched controls,437,0.04857329519450801,21.22653,2023 Q2,Post implementation
Sheffield,2023 Q4,CAZ roads,454,0.06167400881057269,28,2023 Q2,Post implementation
Sheffield,2023 Q4,Matched controls,437,0.031651464530892445,13.83169,2023 Q2,Post implementation
Sheffield,2024 Q1,CAZ roads,454,0.03303964757709251,15,2023 Q2,Post implementation
Sheffield,2024 Q1,Matched controls,437,0.03731947368421053,16.30861,2023 Q2,Post implementation
Sheffield,2024 Q2,CAZ roads,454,0.02643171806167401,12,2023 Q2,Post implementation
Sheffield,2024 Q2,Matched controls,437,0.06266743707093822,27.38567,2023 Q2,Post implementation
Sheffield,2024 Q3,CAZ roads,454,0.04405286343612335,20,2023 Q2,Post implementation
Sheffield,2024 Q3,Matched controls,437,0.01764645308924485,7.7115,2023 Q2,Post implementation
Sheffield,2024 Q4,CAZ roads,454,0.046255506607929514,21,2023 Q2,Post implementation
Sheffield,2024 Q4,Matched controls,437,0.041473821510297486,18.12406,2023 Q2,Post implementation
