scheme,quarter_year,group,n_units,mean_injuries,total_injuries,caz_start_q,implementation_period
Birmingham,2022 Q1,Matched controls,1970,0.04238595939086295,83.50034,2021 Q3,Post implementation
Birmingham,2022 Q2,CAZ roads,1239,0.05811138014527845,72,2021 Q3,Post implementation
Birmingham,2022 Q2,Matched controls,1970,0.059195233502538074,116.61461,2021 Q3,Post implementation
Birmingham,2022 Q3,CAZ roads,1239,0.07344632768361582,91,2021 Q3,Post implementation
Birmingham,2022 Q3,Matched controls,1970,0.049540355329949236,97.5945,2021 Q3,Post implementation
Birmingham,2022 Q4,CAZ roads,1239,0.07586763518966909,94,2021 Q3,Post implementation
Birmingham,2022 Q4,Matched controls,1970,0.05639190355329949,111.09205,2021 Q3,Post implementation
Birmingham,2023 Q1,CAZ roads,1239,0.05972558514931396,74,2021 Q3,Post implementation
Birmingham,2023 Q1,Matched controls,1970,0.0458369847715736,90.29886,2021 Q3,Post implementation
Birmingham,2023 Q2,CAZ roads,1239,0.06053268765133172,75,2021 Q3,Post implementation
Birmingham,2023 Q2,Matched controls,1970,0.05607320812182741,110.46422,2021 Q3,Post implementation
Birmingham,2023 Q3,CAZ roads,1239,0.043583535108958835,54,2021 Q3,Post implementation
Birmingham,2023 Q3,Matched controls,1970,0.04928969035532995,97.10069,2021 Q3,Post implementation
Birmingham,2023 Q4,CAZ roads,1239,0.05004035512510089,62,2021 Q3,Post implementation
Birmingham,2023 Q4,Matched controls,1970,0.0562738730964467,110.85953,2021 Q3,Post implementation
Birmingham,2024 Q1,CAZ roads,1239,0.058918482647296204,73,2021 Q3,Post implementation
Birmingham,2024 Q1,Matched controls,1970,0.04673184771573604,92.06174,2021 Q3,Post implementation
Birmingham,2024 Q2,CAZ roads,1239,0.06860371267150928,85,2021 Q3,Post implementation
Birmingham,2024 Q2,Matched controls,1970,0.05129589340101523,101.05291,2021 Q3,Post implementation
Birmingham,2024 Q3,CAZ roads,1239,0.058918482647296204,73,2021 Q3,Post implementation
Birmingham,2024 Q3,Matched controls,1970,0.053180197969543146,104.76499,2021 Q3,Post implementation
Birmingham,2024 Q4,CAZ roads,1239,0.08716707021791767,108,2021 Q3,Post implementation
Birmingham,2024 Q4,Matched controls,1970,0.04888920812182741,96.31174,2021 Q3,Post implementation
Bradford,2015 Q1,CAZ roads,2055,0.07064646228710462,145.17848,2022 Q4,Pre implementation
Bradford,2015 Q1,Matched controls,8451,0.06737931960714709,569.42263,2022 Q4,Pre implementation
Bradford,2015 Q2,CAZ roads,2055,0.06846296836982968,140.6914,2022 Q4,Pre implementation
Bradford,2015 Q2,Matched controls,8451,0.05877160099396521,496.6788,2022 Q4,Pre implementation
Bradford,2015 Q3,CAZ roads,2055,0.06408951824817519,131.70396,2022 Q4,Pre implementation
Bradford,2015 Q3,Matched controls,8451,0.07228836587386109,610.90898,2022 Q4,Pre implementation
Bradford,2015 Q4,CAZ roads,2055,0.07766227250608272,159.59597,2022 Q4,Pre implementation
Bradford,2015 Q4,Matched controls,8451,0.0722871849485268,610.899,2022 Q4,Pre implementation
Bradford,2016 Q1,CAZ roads,2055,0.07556862773722628,155.29353,2022 Q4,Pre implementation
Bradford,2016 Q1,Matched controls,8451,0.07241548929120814,611.9833,2022 Q4,Pre implementation
Bradford,2016 Q2,CAZ roads,2055,0.05095263260340633,104.70766,2022 Q4,Pre implementation
Bradford,2016 Q2,Matched controls,8451,0.0590247225180452,498.81793,2022 Q4,Pre implementation
Bradford,2016 Q3,CAZ roads,2055,0.07559245742092457,155.3425,2022 Q4,Pre implementation
Bradford,2016 Q3,Matched controls,8451,0.06577843332150042,555.89354,2022 Q4,Pre implementation
Bradford,2016 Q4,CAZ roads,2055,0.06726224817518248,138.22392,2022 Q4,Pre implementation
Bradford,2016 Q4,Matched controls,8451,0.06888022719204828,582.1068,2022 Q4,Pre implementation
Bradford,2017 Q1,CAZ roads,2055,0.05634833090024331,115.79582,2022 Q4,Pre implementation
Bradford,2017 Q1,Matched controls,8451,0.06869026505738966,580.50143,2022 Q4,Pre implementation
Bradford,2017 Q2,CAZ roads,2055,0.0553658102189781,113.77674,2022 Q4,Pre implementation
Bradford,2017 Q2,Matched controls,8451,0.05855637557685481,494.85993,2022 Q4,Pre implementation
Bradford,2017 Q3,CAZ roads,2055,0.0677790608272506,139.28597,2022 Q4,Pre implementation
Bradford,2017 Q3,Matched controls,8451,0.06043472961779671,510.7339,2022 Q4,Pre implementation
Bradford,2017 Q4,CAZ roads,2055,0.05944841362530413,122.16649,2022 Q4,Pre implementation
Bradford,2017 Q4,Matched controls,8451,0.0647305750798722,547.03809,2022 Q4,Pre implementation
Bradford,2018 Q1,CAZ roads,2055,0.0457018102189781,93.91722,2022 Q4,Pre implementation
Bradford,2018 Q1,Matched controls,8451,0.052115375695184,440.42704,2022 Q4,Pre implementation
