group,units,observations,total_RTI,mean_RTI_per_road_quarter,pct_zero
CAZ roads,5216,208640,12374.41482,0.05930988698236196,95.4323236196319
Matched controls,10453,418120,23932.05018,0.05723727681048504,95.3986893714723
