model,estimate,se,ci_lo,ci_hi,scale
"Stacked PPML, COVID-adjusted",-0.09422344034259807,0.0537577079576729,-0.19958854793963696,0.011141667254440824,Log-IRR; exponentiate for IRR
Callaway & Sant'Anna,0.006437594932145692,0.004330106855618746,-0.0020494145048670503,0.014924604369158434,Additive injury-count scale
