term,estimate,se,event_time,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
event_time_f::-34:treat_group,-0.4163011104592818,0.32540264661194646,-34,-1.0540902978186968,0.22148807690013322,0.6594816637579463,0.34850932283525415,1.2479323689097999,-34.05183362420537,-65.14906771647459,24.793236890979987
event_time_f::-33:treat_group,0.08614804134118137,0.1958609922354967,-33,-0.29773950344039213,0.47003558612275487,1.089967676638416,0.74249473188087,1.6000511318202333,8.99676766384161,-25.750526811912998,60.00511318202333
event_time_f::-32:treat_group,0.0823588830532232,0.14116803551965992,-32,-0.19433046656531022,0.3590482326717566,1.0858454314348334,0.823385757840087,1.4319658674456806,8.584543143483337,-17.661424215991296,43.19658674456805
event_time_f::-31:treat_group,0.024720045175897327,0.13739350127190136,-31,-0.24457121731702935,0.294011307668824,1.0250281187858477,0.7830402203559446,1.3417990762007703,2.5028118785847653,-21.695977964405543,34.17990762007703
event_time_f::-30:treat_group,0.05773834175913435,0.12247483166491155,-30,-0.18231232830409227,0.297789011822361,1.0594377488222393,0.8333410237770374,1.3468775826519703,5.943774882223929,-16.665897622296256,34.68775826519703
event_time_f::-29:treat_group,-0.06521445179717153,0.13144397614383435,-29,-0.32284464503908683,0.1924157414447438,0.9368665291219374,0.7240863360348291,1.2121743633438307,-6.313347087806265,-27.591366396517092,21.217436334383066
event_time_f::-28:treat_group,0.12625021697352312,0.12447666522223926,-28,-0.1177240468620658,0.3702244808091121,1.1345660204451276,0.8889413249192807,1.4480596397805894,13.456602044512756,-11.105867508071931,44.80596397805894
event_time_f::-27:treat_group,0.22939515935951166,0.13152864518207888,-27,-0.02840098519736295,0.48719130391638626,1.257838987665151,0.9719985316243628,1.627737972244109,25.7838987665151,-2.8001468375637217,62.7737972244109
event_time_f::-26:treat_group,-0.057397150948489205,0.11287813818366699,-26,-0.2786383017884765,0.1638439998914981,0.9442189974209566,0.7568135918383454,1.1780305278675154,-5.578100257904339,-24.31864081616546,17.80305278675154
event_time_f::-25:treat_group,0.07753641546875856,0.11498169189949166,-25,-0.14782770065424508,0.3029005315917622,1.0806215830835684,0.862579724061168,1.3537797994231888,8.062158308356837,-13.742027593883199,35.37797994231888
event_time_f::-24:treat_group,0.0032311624895649087,0.12180695318362494,-24,-0.23551046575034,0.24197279072946978,1.0032363883220707,0.79016739327087,1.2737595342769217,0.3236388322070738,-20.983260672912994,27.375953427692167
event_time_f::-23:treat_group,-0.05168609471249096,0.12914367506687582,-23,-0.3048076978435676,0.20143550841858565,0.9496269129704569,0.7372651384364088,1.2231573511672036,-5.037308702954313,-26.273486156359116,22.315735116720358
event_time_f::-22:treat_group,0.013819078242811925,0.12427764067030725,-22,-0.22976509747099028,0.2574032539566141,1.01391500305942,0.7947202623785253,1.293566657470394,1.391500305941995,-20.527973762147468,29.35666574703939
event_time_f::-21:treat_group,0.09233941999985754,0.118389183881548,-21,-0.13970338040797653,0.3243822204076916,1.0967370133895853,0.8696161423321458,1.3831758841469288,9.67370133895853,-13.03838576678542,38.317588414692885
event_time_f::-20:treat_group,0.01452004954573994,0.10803795702634705,-20,-0.19723434622590028,0.22627444531738014,1.0146259775374138,0.8209982129343718,1.2539197504636286,1.4625977537413792,-17.90017870656282,25.39197504636286
event_time_f::-19:treat_group,0.024792964164675826,0.1206928879061981,-19,-0.21176509613147246,0.2613510244608241,1.0251028655249343,0.8091547488244744,1.298683455091955,2.510286552493435,-19.084525117552566,29.868345509195503
event_time_f::-18:treat_group,-0.02582850585267181,0.12070858282990567,-18,-0.2624173281992869,0.21076031649394328,0.9745021967026885,0.7691899520585069,1.2346164024073623,-2.549780329731155,-23.081004794149308,23.461640240736227
event_time_f::-17:treat_group,0.03308523086623645,0.11931855781047285,-17,-0.20077914244229034,0.2669496041747632,1.0336386334031817,0.8180930936454726,1.305974629003042,3.363863340318174,-18.190690635452743,30.59746290030421
event_time_f::-16:treat_group,0.01562003976063386,0.11877273089535126,-16,-0.2171745127942546,0.24841459231552232,1.0157426702474113,0.8047895109831223,1.2819913257827962,1.5742670247411272,-19.521048901687767,28.199132578279617
event_time_f::-15:treat_group,-0.04926964638784313,0.13348213748443946,-15,-0.3108946358573445,0.2123553430816582,0.9519244121093501,0.7327910817059672,1.2365872197300143,-4.807558789064991,-26.720891829403282,23.658721973001427
event_time_f::-14:treat_group,0.003892364540376867,0.11735770702643933,-14,-0.22612874123144422,0.23391347031219795,1.003899949629352,0.7976154090654483,1.2635351541749353,0.38999496293519176,-20.238459093455173,26.353515417493533
event_time_f::-13:treat_group,-0.14026955489206872,0.11747431425128343,-13,-0.3705192108245843,0.08998010104044682,0.8691239272143713,0.69037578698390345,1.0941525109920227,-13.087607278562874,-30.962421301609655,9.41525109920227
event_time_f::-12:treat_group,-0.07512627625491276,0.14522718522574277,-12,-0.3597715592973686,0.2095190067875431,0.9276263417520245,0.6978357219467277,1.2330848118691364,-7.237365824797548,-30.21642780532723,23.308481186913642
event_time_f::-11:treat_group,0.08367400106133664,0.14284434568459692,-11,-0.19630091648047332,0.36364891860314663,1.087274385731553,0.8217649148627917,1.4385690706511967,8.7274385731553,-17.82350851372083,43.856907065119664
event_time_f::-10:treat_group,0.10861736736647722,0.1353456765564993,-10,-0.15666015868426142,0.3738948934172158,1.1147357344583155,0.8549945719309842,1.4533843821626355,11.473573445831553,-14.500542806901585,45.338438216263555
event_time_f::-9:treat_group,0.0745593786745342,0.14151493225470704,-9,-0.20280988854469156,0.35192864589376,1.0774093167600731,0.8164334400220721,1.4218070683263848,7.740931676007312,-18.356655997792792,42.18070683263848
event_time_f::-8:treat_group,0.05908131076427729,0.11781635852462247,-8,-0.17183875194398274,0.29000137347253735,1.0608614966924312,0.8421149516200919,1.3364293235731857,6.086149669243124,-15.788504837990814,33.642932357318564
event_time_f::-7:treat_group,0.14407531734101525,0.12021088066494923,-7,-0.09153800876228524,0.37968864344431574,1.1549710946008873,0.9125266314850397,1.4618293684127304,15.497109460088732,-8.747336851496035,46.18293684127303
event_time_f::-6:treat_group,0.29606975693600585,0.11950016516853249,-6,0.061849433205682175,0.5302900806663295,1.3445639462219368,1.0638021593881122,1.6994252075214482,34.45639462219368,6.380215938811218,69.94252075214482
event_time_f::-5:treat_group,0.14071690995842723,0.12001514622736051,-5,-0.09451277664719937,0.3759465965640538,1.1510987372664943,0.9098161101523136,1.4563693565666722,15.109873726649425,-9.018388984768643,45.63693565666722
event_time_f::-4:treat_group,0.137043449798163,0.12469549431626585,-4,-0.10735971906171807,0.3814466186580441,1.1468779790545345,0.898202514304942,1.4644014884082763,14.687797905453447,-10.179748569505797,46.44014884082763
event_time_f::-3:treat_group,0.19163477355319936,0.12113504027751493,-3,-0.045789905390729885,0.4290594524971286,1.2112280636500405,0.9552426324377281,1.5358123395618704,21.122806365004053,-4.475736756227189,53.581233956187035
event_time_f::-2:treat_group,0.07681426471598693,0.12417368404704528,-2,-0.16656615601622182,0.3201946854481957,1.0798414930990696,0.8465668095952604,1.3773958971719134,7.984149309906963,-15.343319040473958,37.739589717191336
event_time_f::0:treat_group,0.1489706767964769,0.11340662828415085,0,-0.07330631464045875,0.3712476682334126,1.160638955057797,0.9293161232889202,1.4495420344481127,16.06389550577969,-7.0683876711079785,44.95420344481127
