spec,period,n_schemes,estimate_log_irr,se,z,p_value,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
Pooled equal-scheme: anticipation,Anticipation: announcement to quarter before implementation,7,-0.02547340901821042,0.0817143786706941,-0.3117371683246508,0.7552402783000852,-0.18563359121277084,0.13468677317635003,0.9748483007945101,0.8305778702641028,1.1441783408697888,-2.5151699205489875,-16.942212973589722,14.417834086978875
Pooled equal-scheme: implementation,Implementation: event times 0-5,7,0.0898450288528003,0.06075539937192455,1.4787990825769841,0.1391940211333685,-0.029235553916171816,0.20892561162177242,1.0940047313994252,0.9711876704618857,1.2323533223554228,9.400473139942523,-2.88123295381143,23.235332235542284
