scheme,n_treated,median_mdist,mean_mdist,p75_mdist,p90_mdist,p95_mdist,max_mdist,n_gt5,n_gt10,n_gt15,n_gt20,pct_gt5,pct_gt10,pct_gt15,pct_gt20
Bristol,48,1.82,2.57,2.49,4.84,7.4,12.41,5,1,0,0,10.4,2.1,0,0
Newcastle,27,1.65,2.3,2.5,4.26,5.26,12.43,2,1,0,0,7.4,3.7,0,0
Sheffield,41,1.13,1.75,2.34,4.08,4.41,8.45,2,0,0,0,4.9,0,0,0
