characteristic,zero_dropped,n,mean,sd,median,p25,p75
mean_total_pkm,FALSE,15837,0.6480442962379421,0.4716810196293037,0.5410584069691625,0.3208928655602954,0.8769686991593133
mean_total_pkm,TRUE,53223,0.4340734354052577,0.36687108752742986,0.34837949092855797,0.1757268673098487,0.5923506528985917
prop_in_caz,FALSE,15837,0.7482340281605221,1.927306449808817,0,0,1
prop_in_caz,TRUE,53223,0.6289800902466026,1.6949783150936675,0,0,1
road_length_m,FALSE,15837,49.20427416808739,55.92677546074485,35.43,20.64,60.44
road_length_m,TRUE,53223,34.411102906638106,34.86261459556181,25.17,13.39,43.2
trend_total_pkm,FALSE,15837,-0.009234636195765996,1.1837539533710038,-0.010150973897601659,-0.045739854123940424,0.02349528949561899
trend_total_pkm,TRUE,53223,-0.07156081536310525,1.6007416717018428,-0.01150263204808568,-0.05257825220817864,0.02987399547970198
