term,estimate,se,event_time,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi
event_time_f::-34:treat_group,-0.4152012037367325,0.32032249864948925,-34,-1.0430333010897315,0.21263089361626641,0.6602074311383528,0.35238417189729787,1.23692800894967,-33.97925688616472,-64.76158281027021,23.692800894966993
event_time_f::-33:treat_group,0.07262831517426113,0.18322304356600394,-33,-0.2864888502151066,0.4317454805636288,1.07533077849422,0.7508954508071696,1.539943119823126,7.53307784942201,-24.910454919283044,53.994311982312595
event_time_f::-32:treat_group,0.06584067332335639,0.13505432892207003,-32,-0.19886581136390089,0.33054715801061363,1.0680565337109875,0.8196598749943067,1.391729416071091,6.805653371098752,-18.03401250056933,39.17294160710909
event_time_f::-31:treat_group,0.01038137763557349,0.1474503079584581,-31,-0.27862122596300437,0.2993839812341514,1.0104354510933835,0.7568265151654925,1.3490275252883226,1.0435451093383508,-24.31734848345075,34.90275252883226
event_time_f::-30:treat_group,0.10913029873471544,0.12447069272789867,-30,-0.13483225901196594,0.3530928564813968,1.1153076640515902,0.8738624819508988,1.4234633150918463,11.53076640515902,-12.613751804910123,42.34633150918463
event_time_f::-29:treat_group,-0.08983311651700052,0.13966411465053738,-29,-0.3635747812320538,0.18390854819805272,0.9140837180178921,0.6951867383514873,1.2019059016096458,-8.591628198210788,-30.481326164851275,20.190590160964582
event_time_f::-28:treat_group,0.03483426305981198,0.14164264751293992,-28,-0.24278532606555026,0.3124538521851742,1.0354480825806835,0.7844398944959243,1.366774866044991,3.544808258068355,-21.556010550407567,36.6774866044991
event_time_f::-27:treat_group,0.26864896346680883,0.12152871320201865,-27,0.03045268559085229,0.5068452413427653,1.30819583590377,1.030921111471558,1.6600458813314138,30.819583590376997,3.092111147155796,66.00458813314138
event_time_f::-26:treat_group,-0.00805883071565663,0.11747111883186945,-26,-0.23830222362612075,0.22218456219480748,0.9919735546062605,0.787964513611594,1.2488018382046349,-0.8026445393739534,-21.203548638840598,24.880183820463486
event_time_f::-25:treat_group,0.10142209813200716,0.11753104774137063,-25,-0.1289387554410793,0.3317829517050936,1.1067436976321654,0.8790277995669095,1.393450369660673,10.67436976321654,-12.097220043309054,39.345036966067305
event_time_f::-24:treat_group,0.0052627318252960985,0.13183274898694872,-24,-0.2531294561891234,0.26365491983971556,1.005276604323498,0.7763673697568751,1.3016789352142057,0.5276604323497969,-22.363263024312484,30.167893521420574
event_time_f::-23:treat_group,-0.051530215773206836,0.13403832039514024,-23,-0.3142453237476817,0.21118489220126807,0.949774951344099,0.7303398364745706,1.235140701834213,-5.022504865590105,-26.966016352542944,23.51407018342131
event_time_f::-22:treat_group,0.04005960635629618,0.12256226575958314,-22,-0.20016243453248675,0.2802816472450791,1.040872814979226,0.8185977737313845,1.32350252068764,4.08728149792259,-18.140222626861547,32.35025206876401
event_time_f::-21:treat_group,0.05370822958451933,0.1186238619340898,-21,-0.17879453980629667,0.28621099897533536,1.0551766878964959,0.8362777035259326,1.3313733440290065,5.517668789649588,-16.372229647406744,33.137334402900656
event_time_f::-20:treat_group,-3.428983298367043e-4,0.10451230278331658,-20,-0.20518701178513718,0.2045012151254638,0.9996571604530765,0.8144949820071237,1.2269129466980166,-0.03428395469234902,-18.550501799287634,22.691294669801664
event_time_f::-19:treat_group,0.13036603808561106,0.12528608021753546,-19,-0.11519467914075843,0.37592675531198055,1.1392453141875258,0.8911926304021125,1.456340460661823,13.924531418752583,-10.88073695978875,45.63404606618231
event_time_f::-18:treat_group,0.1501561406210592,0.1107572187531557,-18,-0.06692800813512595,0.36724028937724434,1.1620156664119452,0.9352625302068784,1.443744793975781,16.20156664119452,-6.473746979312156,44.374479397578106
event_time_f::-17:treat_group,0.08400057392744967,0.12163389369988942,-17,-0.1544018577243336,0.32240300557923296,1.0876295180290825,0.8569275888389586,1.3804409892916663,8.762951802908248,-14.30724111610414,38.04409892916662
event_time_f::-16:treat_group,-0.04448046476612143,0.1160842882674838,-16,-0.2720056697703897,0.18304474023814682,0.9564942852506766,0.7618499415633522,1.200868134005265,-4.350571474932341,-23.815005843664782,20.086813400526495
event_time_f::-15:treat_group,0.08320651913116962,0.12636961336929048,-15,-0.1644779230726397,0.330890961334979,1.0867662233907005,0.8483364854005706,1.3922079795320936,8.67662233907005,-15.16635145994294,39.22079795320936
event_time_f::-14:treat_group,0.07716673764306556,0.11005817693260656,-14,-0.1385472891448433,0.29288076443097444,1.0802221750770276,0.8706220793220181,1.340282971501058,8.022217507702756,-12.937792067798192,34.0282971501058
event_time_f::-13:treat_group,0.023683329205265235,0.13320954231113957,-13,-0.23740737372456833,0.2847740321350988,1.0239660064143126,0.7886699391569432,1.3294615785824013,2.396600641431257,-21.133006084305684,32.946157858240134
event_time_f::-12:treat_group,-0.05243982783325766,0.11988751630349799,-12,-0.2874193597881137,0.1825397041215984,0.94891141739401,0.7501970603817459,1.2002618053482028,-5.108858260599003,-24.980293961825407,20.02618053482028
event_time_f::-11:treat_group,0.21726394244123431,0.13307022968809562,-11,-0.04355370774743311,0.47808159262990174,1.2426720527510742,0.9573811339260105,1.6129770850570277,24.26720527510742,-4.261886607398946,61.29770850570277
event_time_f::-10:treat_group,0.15122115310392684,0.13390067257233854,-10,-0.11122416513785668,0.41366647134571033,1.1632538868450328,0.8947381573446641,1.5123526298195225,16.325388684503285,-10.526184265533589,51.235262981952246
event_time_f::-9:treat_group,0.008947529014895364,0.1298199382146688,-9,-0.24549954988585548,0.26339460791564623,1.008987677807456,0.7823136359248639,1.301340136764611,0.8987677807456018,-21.768636407513608,30.13401367646109
event_time_f::-8:treat_group,0.11300164553052106,0.13446966466578975,-8,-0.15055889721442683,0.37656218827546895,1.1196337753386199,0.8602270635375538,1.4572661614758475,11.963377533861985,-13.977293646244615,45.72661614758475
event_time_f::-7:treat_group,0.27422171658388306,0.11780989102640667,-7,0.04331433017212599,0.5051291029956402,1.3155064395009635,1.0442660876065304,1.657199456064841,31.550643950096347,4.426608760653039,65.7199456064841
event_time_f::-6:treat_group,0.5129017482579691,0.11687068809992483,-6,0.28383519958211645,0.7419682969338217,1.6701304685510945,1.3282140224892585,2.1000650006352846,67.01304685510945,32.82140224892585,110.00650006352845
event_time_f::-5:treat_group,0.23195647726856278,0.12853396002655623,-5,-0.019970084383487408,0.48388303892061296,1.2610648426474684,0.980227996992988,1.6223618813581593,26.106484264746843,-1.9772003007011985,62.23618813581593
event_time_f::-4:treat_group,0.030664570177867136,0.12383644792829887,-4,-0.21205486776159865,0.27338400811733293,1.0311395709087836,0.8089203127019923,1.314404890071852,3.113957090878361,-19.107968729800774,31.440489007185192
event_time_f::-3:treat_group,0.24797186478169284,0.10877182004021027,-3,0.03477909750288072,0.46116463206050495,1.281423878546268,1.0353909630860634,1.5859199230542937,28.142387854626794,3.5390963086063376,58.59199230542937
event_time_f::-2:treat_group,0.21190335707590885,0.12209291360823925,-2,-0.027398753596240083,0.4512054677480578,1.2360284259048153,0.9729731876029285,1.5702038752050576,23.602842590481533,-2.70268123970715,57.02038752050576
event_time_f::0:treat_group,0.09128979051796038,0.10632990026943985,0,-0.11711681401014173,0.2996963950460625,1.0955864498247962,0.889481283218822,1.3494490459608826,9.558644982479624,-11.051871678117797,34.94490459608826
event_time_f::1:treat_group,0.3278331044333336,0.1166216934330206,1,0.0992545853046132,0.556411623562054,1.3879573090365647,1.1043474143964032,1.744401686095256,38.79573090365647,10.434741439640316,74.4401686095256
event_time_f::2:treat_group,0.16626806216813886,0.12438786933763657,2,-0.07753216173362881,0.41006828606990653,1.1808896111287739,0.9253972615378004,1.5069206832906803,18.08896111287739,-7.460273846219955,50.69206832906803
event_time_f::3:treat_group,0.14923807676886894,0.1325673883551794,3,-0.11059400440728265,0.40907015794502055,1.160949351380471,0.8953021638842914,1.5054173337672465,16.094935138047095,-10.46978361157086,50.54173337672465
