stack_scheme,post,pre,index
Portsmouth,59.25303333333333,82.15752785714287,72.12124668157453
Bristol,30.0726175,40.17955875,74.84556435055426
Bradford,138.27916666666667,181.10577161290323,76.3527111450791
Birmingham,101.37407928571429,126.75075115384615,79.97907575527466
Newcastle,121.957765,150.41731676470587,81.07960414609413
Sheffield,33.76179714285714,40.06077727272727,84.27644055184527
Bath,10.938399333333333,10.0951416,108.35310456005226
