scheme,estimate_log_irr,se,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi,p_value,sig
Bath,-0.6466924127852773,0.3285751521891275,0.5237753474739083,0.27507824044390095,0.9973184872009608,-47.62246525260917,-72.49217595560991,-0.2681512799039165,0.04904825135253427,*
Portsmouth,-0.18726917186353725,0.16955338135608522,0.8292205035145335,0.5947620916744704,1.1561036809071592,-17.077949648546653,-40.52379083255296,15.61036809071592,0.26938279288225614,
Sheffield,-0.04592287611450049,0.19907074864921767,0.9551156215780664,0.6465520694632951,1.4109394953135241,-4.48843784219336,-35.344793053670486,41.093949531352415,0.8175585890463436,
Bristol,0.08617973080757704,0.20226277784266222,1.090002217679768,0.7332597210240502,1.620305603160007,9.00022176797679,-26.674027897594975,62.030560316000695,0.6700509709643021,
Birmingham,0.13684639814047292,0.14623888916402808,1.1466520071123978,0.8608957822005568,1.5272589930154727,14.665200711239779,-13.910421779944315,52.72589930154727,0.3493900965318425,
Newcastle,0.16005195550125742,0.1353980344285767,1.1735718429212436,0.9000290917813403,1.5302515030616013,17.357184292124362,-9.997090821865973,53.02515030616013,0.237172063563381,
Bradford,0.4156093966748955,0.1130991355339792,1.5152938744347335,1.2140174797725016,1.8913364627416254,51.529387443473354,21.401747977250164,89.13364627416254,2.3809603982335184e-4,***
