event_time,Newcastle,Sheffield,Bristol,Bradford,Portsmouth,Birmingham,Bath
-34,100,0,0,0,0,0,0
-33,72.60170768458062,27.398292315419386,0,0,0,0,0
-32,56.54214746724037,21.337766477606102,22.12008605515353,0,0,0,0
-31,27.70218474511307,10.454197010348793,10.837485626676887,51.00613261786125,0,0,0
-30,27.70218474511307,10.454197010348793,10.837485626676887,51.00613261786125,0,0,0
-29,27.70218474511307,10.454197010348793,10.837485626676887,51.00613261786125,0,0,0
-28,23.892561983471076,9.016528925619834,9.347107438016529,43.99173553719008,13.75206611570248,0,0
-27,23.892561983471076,9.016528925619834,9.347107438016529,43.99173553719008,13.75206611570248,0,0
-26,18.94743740988334,7.150347358762616,7.412504915454188,34.886616856730896,10.90575435836938,20.69733910079958,0
-25,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-24,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-23,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-22,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-21,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-20,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-19,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-18,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-17,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-16,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-15,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-14,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-13,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-12,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-11,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-10,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-9,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-8,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-7,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-6,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-5,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-4,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-3,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-2,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
-1,18.450443550960497,6.9627927755440675,7.218073903886655,33.9715361541898,10.61969493905163,20.154445082647264,2.623013593720084
