term,estimate,se,event_time,ci_lo,ci_hi,irr,irr_lo,irr_hi,pct_change,pct_lo,pct_hi,scheme
event_time_ref::-25:treat_group,0.11648348077735929,0.6215627780773664,-25,-1.1017795642542787,1.3347465258089974,1.123538950323839,0.3322792449799496,3.7990328675839087,12.35389503238391,-66.77207550200504,279.9032867583909,Bath
event_time_ref::-24:treat_group,0.2799616774767867,0.61586352512107,-24,-0.9271308317605106,1.4870541867140838,1.3230791076360617,0.39568737690847583,4.4240438973314635,32.30791076360617,-60.43126230915241,342.40438973314633,Bath
event_time_ref::-23:treat_group,-0.3963777910850015,0.6044134182818742,-23,-1.581028090917475,0.788272508747472,0.6727524880292792,0.2057634458947444,2.1995933640278604,-32.72475119707208,-79.423655410525555,119.95933640278605,Bath
event_time_ref::-22:treat_group,0.8454211433265264,0.604158237498166,-22,-0.338729002169879,2.0295712888229316,2.32895843336718,0.7126755564515505,7.610822814463749,132.895843336718,-28.732444354844954,661.08228144637485,Bath
event_time_ref::-21:treat_group,-0.7215676247446211,0.7953450722163402,-21,-2.2804439662886478,0.8373087167994057,0.48598980885064563,0.10223880605482183,2.310141358458753,-51.401019114935444,-89.77611939451782,131.0141358458753,Bath
event_time_ref::-20:treat_group,0.27838640378499885,0.8875263926221162,-20,-1.4611653257543489,2.0179381333243467,1.3209965366659349,0.2319658014430738,7.52279792550213,32.09965366659348,-76.80341985569262,652.279792550213,Bath
event_time_ref::-19:treat_group,0.28412533200248696,0.6105197956601633,-19,-0.9124934674914331,1.4807441314964072,1.3285994363461973,0.40152179325015364,4.3962158267202796,32.859943634619725,-59.84782067498464,339.62158267202796,Bath
event_time_ref::-18:treat_group,0.5589017638684438,0.5133905522461018,-18,-0.44734371853391564,1.5651472462708034,1.7487509038782023,0.6393241229545819,4.783379218794287,74.87509038782024,-36.067587704541815,378.3379218794287,Bath
event_time_ref::-17:treat_group,-0.11271276376072313,0.751613102976824,-17,-1.5858744455952982,1.3604489180738522,0.8934072422008074,0.20476865575619305,3.8979427660412918,-10.659275779919264,-79.52313442438069,289.79427660412915,Bath
event_time_ref::-16:treat_group,-0.7533903064736004,0.7423036047903873,-16,-2.2083053718627594,0.7015247589155585,0.47076779702663357,0.10988670792739004,2.0168255369316483,-52.92322029733665,-89.01132920726099,101.68255369316483,Bath
event_time_ref::-15:treat_group,-0.019427253551467877,0.6583376545831835,-15,-1.3097690565345075,1.2709145494315717,0.9807602394178943,0.2698823767595324,3.5641106276461256,-1.9239760582105747,-73.01176232404676,256.41106276461255,Bath
event_time_ref::-14:treat_group,-0.42416559690737166,0.5346847498050988,-14,-1.4721477065253654,0.6238165127106221,0.6543155203103247,0.2294322026245407,1.8660362199442058,-34.56844796896753,-77.05677973754594,86.60362199442058,Bath
event_time_ref::-13:treat_group,0.26848784533540593,0.6257823771147402,-13,-0.9580456138094847,1.4950213044802965,1.3079850788140301,0.3836419382742181,4.459431557707562,30.798507881403015,-61.63580617257819,345.9431557707562,Bath
event_time_ref::-12:treat_group,0.37284180884079754,0.6754648076334605,-12,-0.9510692141207849,1.69675283180238,1.45185465109564,0.3863277354771807,5.456201391557996,45.18546510956401,-61.36722645228193,445.62013915579956,Bath
event_time_ref::-11:treat_group,0.5671662133937471,0.7553321343980881,-11,-0.9132847700265055,2.0476171968139996,1.76326325314391,0.40120419371249993,7.7494137614015095,76.32632531439101,-59.879580628750006,674.941376140151,Bath
event_time_ref::-10:treat_group,-0.3523517567881921,0.5292663135235781,-10,-1.389713731294405,0.685010217718021,0.7030327819237567,0.2491466173035269,1.9837921052619485,-29.69672180762433,-75.08533826964731,98.37921052619485,Bath
event_time_ref::-9:treat_group,-0.7911379406707575,0.748776239445182,-9,-2.2587393699833145,0.6764634886417993,0.4533286405640134,0.1044821150592269,1.9669094202306534,-54.667135943598666,-89.55178849407731,96.69094202306535,Bath
event_time_ref::-8:treat_group,0.264625568908607,0.6711723245736416,-8,-1.0508721872557305,1.5801233250729445,1.3029430220537763,0.34963267092807293,4.855554585938204,30.294302205377633,-65.0367329071927,385.55545859382045,Bath
event_time_ref::-7:treat_group,0.16864685761179818,0.5656791286157881,-7,-0.9400842344751464,1.2773779496987427,1.1837020497370438,0.3905949324136327,3.587221508209141,18.370204973704386,-60.94050675863674,258.7221508209141,Bath
event_time_ref::-6:treat_group,0.9374331850614769,0.5467631542754351,-6,-0.13422259731837582,2.0090889674413295,2.553418845840059,0.8743954048664467,7.45652111848303,155.3418845840059,-12.560459513355326,645.652111848303,Bath
event_time_ref::-5:treat_group,-0.18753480239963163,0.5498420602640027,-5,-1.265225240517077,0.8901556357178136,0.8290002664797803,0.2821757315744478,2.435508673935088,-17.09997335202197,-71.78242684255522,143.5508673935088,Bath
event_time_ref::0:treat_group,-2.075036415844137,1.134063649514636,0,-4.297801168892823,0.14772833720454948,0.1255518553331533,0.013598426806920713,1.1591979426307297,-87.44481446668468,-98.64015731930793,15.919794263072973,Bath
event_time_ref::1:treat_group,0.5966203615568948,0.6783131342184456,1,-0.7328733815112587,1.9261141046250483,1.8159710920121608,0.480526269201635,6.862790274718699,81.59710920121609,-51.9473730798365,586.2790274718699,Bath
event_time_ref::2:treat_group,-0.47945723423502595,0.6623176385287478,2,-1.7775998057513718,0.8186853372813198,0.6191193374087864,0.16904339772512472,2.2675168572793303,-38.088066259121355,-83.09566022748753,126.75168572793302,Bath
event_time_ref::3:treat_group,0.34215908924116606,0.5861051627513607,3,-0.8066070297515009,1.4909252082338331,1.4079842748472975,0.44637001996297043,4.441202655997654,40.79842748472975,-55.362998003702955,344.1202655997654,Bath
event_time_ref::4:treat_group,-0.480674643290787,0.7325029620427737,4,-1.9163804488946234,0.9550311623130493,0.6183660745283874,0.14713857504184072,2.598751564767523,-38.16339254716126,-85.28614249581594,159.8751564767523,Bath
event_time_ref::5:treat_group,-0.9433984584654997,0.5594940195673155,5,-2.040006736817438,0.15320981988643867,0.3893025561133501,0.13002783490168965,1.1655695129506356,-61.069744388664994,-86.99721650983103,16.55695129506356,Bath
event_time_ref::6:treat_group,-1.0252894491860793,0.7606027089611133,6,-2.516070758749861,0.4654918603777025,0.35869262708975475,0.0807763738750252,1.592797430194247,-64.13073729102452,-91.92236261249748,59.27974301942469,Bath
event_time_ref::7:treat_group,-1.26612982071188,0.9293082263811153,7,-3.087573944418866,0.555314302995106,0.2819205964087178,0.04561247868987713,1.7424885680919184,-71.80794035912822,-95.43875213101228,74.24885680919185,Bath
event_time_ref::8:treat_group,-13.752638987399385,0.4929162582622859,8,-14.718754853593465,-12.786523121205304,1.0648900672189297e-6,4.052527649236666e-7,2.798231013859054e-6,-99.99989351099327,-99.99995947472351,-99.9997201768986,Bath
event_time_ref::9:treat_group,-0.453744194591996,0.6302477803655224,9,-1.68902984410842,0.781541454924428,0.6352452116241604,0.18469862355950503,2.1848374996764144,-36.475478837583964,-81.53013764404949,118.48374996764144,Bath
event_time_ref::10:treat_group,-0.8363217749989876,0.9495159545301914,10,-2.697373045878163,1.0247294958801874,0.43330137583250017,0.06738229063049564,2.7863416417216045,-56.669862416749986,-93.26177093695044,178.63416417216044,Bath
event_time_ref::11:treat_group,-1.0771559751479958,0.7714989565504239,11,-2.5892939299868267,0.43498197969083496,0.3405627184677889,0.07507302819047294,1.5449352184902152,-65.94372815322112,-92.4926971809527,54.49352184902152,Bath
event_time_ref::12:treat_group,0.11224875367539008,0.7003641456347371,12,-1.2604649717686949,1.4849624791194749,1.1187911294388595,0.2835221660434418,4.414799762496494,11.87911294388595,-71.64778339565582,341.4799762496494,Bath
event_time_ref::13:treat_group,0.6592374448139919,0.717021498221295,13,-0.7461246916997464,2.0645995813277302,1.9333175108622203,0.4742006703538186,7.88214110920097,93.33175108622203,-52.57993296461814,688.214110920097,Bath
event_time_ref::14:treat_group,-2.2401240733336256,0.7837331110520354,14,-3.776240970995615,-0.7040071756716364,0.10644529653710914,0.022908644032078044,0.49459938087157473,-89.3554703462891,-97.7091355967922,-50.540061912842525,Bath
event_time_ref::-26:treat_group,0.24438427167138888,0.2581029814146193,-26,-0.2614975719012649,0.7502661152440426,1.276834887706184,0.7698977448098119,2.1175634575555207,27.683488770618393,-23.01022551901881,111.75634575555206,Birmingham
event_time_ref::-25:treat_group,0.15140045040896427,0.2986390066601562,-25,-0.43393200264494186,0.7367329034628705,1.163462473831002,0.6479563133029239,2.0890990645848015,16.3462473831002,-35.204368669707605,108.90990645848015,Birmingham
event_time_ref::-24:treat_group,0.20372164208108057,0.2725722471370076,-24,-0.3305199623074544,0.7379632464696155,1.2259568511585421,0.7185500173561635,2.091670954838473,22.595685115854213,-28.14499826438365,109.16709548384729,Birmingham
event_time_ref::-23:treat_group,-0.3026621444399481,0.2725266284695195,-23,-0.8368143362402064,0.2314900473603102,0.7388486783407947,0.43308800092341737,1.2604767814439397,-26.115132165920528,-56.691199907658266,26.04767814439397,Birmingham
event_time_ref::-22:treat_group,0.0551453125144165,0.2993390036123349,-22,-0.53155913456576,0.6418497595945929,1.0566941544041477,0.5876879703729696,1.8999921595183535,5.669415440414771,-41.23120296270304,89.99921595183535,Birmingham
event_time_ref::-21:treat_group,0.06487643309341874,0.2642805567487426,-21,-0.45311345813411685,0.5828663243209543,1.0670271669914921,0.6356460103247138,1.7911651400380433,6.702716699149214,-36.43539896752862,79.11651400380433,Birmingham
