spec,scheme,pct_change,pct_lo,pct_hi,p_value,sig
"Original: unbalanced window, uncleaned reference",Bath,-53.33059023864728,-67.05993985689813,-33.87887581227878,1.8088901709627613e-5,***
"Revised: common 0-5Q window, clean reference",Bath,-47.62246525260917,-72.49217595560991,-0.2681512799039165,0.04904825135253427,*
"Original: unbalanced window, uncleaned reference",Birmingham,1.506092767745404,-12.545029475929514,17.814765784390495,0.8441040359349512,
"Revised: common 0-5Q window, clean reference",Birmingham,14.665200711239779,-13.910421779944315,52.72589930154727,0.3493900965318425,
"Original: unbalanced window, uncleaned reference",Bradford,46.7870902006086,30.668976602596622,64.89338487046388,9.963699417991172e-11,***
"Revised: common 0-5Q window, clean reference",Bradford,51.529387443473354,21.401747977250164,89.13364627416254,2.3809603982335184e-4,***
"Original: unbalanced window, uncleaned reference",Bristol,-0.701714823529398,-17.40394836651509,19.37797562941035,0.9402595937655568,
"Revised: common 0-5Q window, clean reference",Bristol,9.00022176797679,-26.674027897594975,62.030560316000695,0.6700509709643021,
"Original: unbalanced window, uncleaned reference",Newcastle,3.86826661723656,-11.032517253622121,21.264719165144363,0.6309557527417846,
"Revised: common 0-5Q window, clean reference",Newcastle,17.357184292124362,-9.997090821865973,53.02515030616013,0.237172063563381,
"Original: unbalanced window, uncleaned reference",Portsmouth,16.25440919348633,-3.6804340058879115,40.315080507658465,0.11658188047382363,
"Revised: common 0-5Q window, clean reference",Portsmouth,-17.077949648546653,-40.52379083255296,15.61036809071592,0.26938279288225614,
"Original: unbalanced window, uncleaned reference",Sheffield,12.182351285674532,-19.798871216270296,56.916493955077144,0.501967777244408,
"Revised: common 0-5Q window, clean reference",Sheffield,-4.48843784219336,-35.344793053670486,41.093949531352415,0.8175585890463436,
